"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1678,1300,2289,1207,936,1661
"2024-10",3217,2676,3993,2248,1878,2774
"2024-11",2487,1911,3265,1860,1450,2406
"2024-12",9601,8775,10717,2240,1782,2842
"2025-01",7174,6662,7908,2252,1794,2857
"2025-02",1673,1383,2111,1456,1100,1933
"2025-03",1519,1069,2392,1659,1385,2005
"2025-04",3346,2431,4987,3213,2650,3955
"2025-05",8068,5427,13438,3929,3219,4816
"2025-06",4118,2676,6982,2949,2259,3870
"2025-07",13021,7603,23843,7913,6106,10905
"2025-08",19560,12591,31693,8889,7133,11450
"2025-09",5761,3411,10765,3602,2735,5000
