"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,39387,31493,23,80
"shore all-gear",289,145,19025,10003,50,52.6
"shore pot-closure",76,51,5863,1862,67,31.8
