"fit","B1_median","B1_lo95","B1_hi95","weekend_multiplier","B2_median","B2_lo95","B2_hi95","holiday_multiplier"
"shore_ring_net_only_Dungeness_Kept",0.476,0.158,0.797,"1.6x (1.2-2.2)",0.027,-1.006,1.21,"1.6x (0.6-5.3)"
"shore_all_gear_Dungeness_Kept",0.763,0.633,0.898,"2.1x (1.9-2.5)",0.385,0.014,0.78,"3.1x (2.2-4.7)"
"private_boat_all_gear_Dungeness_Kept",0.268,-0.049,0.574,"1.3x (1.0-1.8)",0.515,-0.168,1.322,"2.2x (1.1-4.9)"
