"event_date","median","lo95","hi95"
2024-09-16,72.0902936246101,35.8107986980806,149.842180547929
2024-09-17,72.4176350007408,35.5335670837147,147.260096267998
2024-09-18,72.7149793643581,35.2958241979891,148.457743295597
2024-09-19,72.2089436252234,36.0796885646433,147.838699181567
2024-09-20,94.4023241291607,46.8838709751055,192.922810794874
2024-09-21,95.226783172274,46.9608199487967,197.837556147315
2024-09-22,94.820115492887,46.7225408732357,194.796102403072
2024-09-23,71.9632345087618,36.5698660713764,149.595281238164
2024-09-24,72.1312476464215,35.5259070040662,149.089724923537
2024-09-25,72.536459176312,35.467248596343,148.610931671724
2024-09-26,72.3900033397062,36.3062354686393,145.92947695268
2024-09-27,95.4958914546474,47.0248007848144,194.086928711518
2024-09-28,94.6349852511237,47.288072644598,195.009170822888
2024-09-29,94.3545964799041,46.4249891964776,197.097289069641
2024-09-30,79.0314855240399,39.2784467433734,165.070333149934
2024-10-01,78.9032039047638,38.8143823141253,163.520509145389
2024-10-02,79.1864971534249,39.3831805773961,160.873638557045
2024-10-03,78.8339090287208,39.9648954146397,161.319099399494
2024-10-04,103.595938730318,51.3966819153103,209.890330585002
2024-10-05,103.244355819625,51.92817429688,210.28757153217
2024-10-06,103.271777790505,51.7026021611539,210.768738772751
2024-10-07,79.0572040481244,38.8425491554365,162.969379933025
2024-10-08,79.33894952618,39.4037928649232,163.079645821803
2024-10-09,78.4454789183092,38.6293416247293,162.121973026637
2024-10-10,78.9035622849426,39.3649171824263,161.302049788644
2024-10-11,103.2765781846,51.7215209391863,211.924676108458
2024-10-12,103.770309021592,50.4403099650196,213.07094051417
2024-10-13,104.420143347566,52.6017836061448,208.173140153589
2024-10-14,62.6380330254295,32.3782815482418,120.153516140488
2024-10-15,62.7209375899675,31.329914204387,125.747325141541
2024-10-16,62.5260295235996,31.8845061979399,123.651659698831
2024-10-17,62.598339840905,33.0293671230871,122.63676566182
2024-10-18,82.3344924899818,40.9629055534973,165.005659799613
2024-10-19,81.6850046688483,40.8134310888709,163.676019236506
2024-10-20,81.8489627668916,41.2737917573775,163.089178791015
2024-10-21,62.5492094523982,32.1852053356892,124.684459814764
2024-10-22,62.9391195076478,31.9306785543434,121.061295745805
2024-10-23,62.7445242525235,32.0327648893597,124.298815015563
2024-10-24,62.6421850470481,31.9847435784357,124.017469366287
2024-10-25,82.9127509673872,40.6282064888358,166.28978761614
2024-10-26,83.0104374362503,40.9349218070725,163.456897517486
2024-10-27,81.8323897526735,41.1456116879544,162.881133874177
2024-10-28,64.9407029121307,30.9968083774085,131.199948247714
2024-10-29,64.9464529331699,30.0875391199214,134.961943345756
2024-10-30,65.0480319779093,31.6706362419745,134.318673898157
2024-10-31,64.9881369723341,30.9553154889568,134.666743519085
2024-11-01,85.7405712712251,41.942755951424,173.28875408235
2024-11-02,84.9032645200866,43.0039752043837,167.804298228384
2024-11-03,86.2272411817759,40.8423654501321,170.535180308085
2024-11-04,64.9032087330887,31.1463327308898,136.139244717746
2024-11-05,65.0839461399012,30.7076047761374,134.552619980387
2024-11-06,64.7360512677902,31.9289047766428,134.775947676333
2024-11-07,65.0391213618555,30.8896246967081,136.149608499292
2024-11-08,85.2737912616383,40.6923002715852,174.365604290358
2024-11-09,85.6689085175975,41.3381803565674,172.051438446662
2024-11-10,85.0024979134477,41.4093314284828,174.752288717529
2024-11-11,51.7384105675618,24.831925348275,106.828045512352
2024-11-12,51.5612528943809,25.0070555738618,108.540135020561
2024-11-13,51.6815663893543,24.8442563325213,106.444167385904
2024-11-14,51.7025773341263,24.9517958629923,107.621665386287
2024-11-15,67.447507751786,31.707180162017,141.773284381728
2024-11-16,67.3438439123455,32.0075078943562,140.869958286311
2024-11-17,67.6963733673665,32.6818538126918,140.990881296448
2024-11-18,51.6254240436956,24.3762711158935,104.093291899782
2024-11-19,51.7268535168417,24.6903755476706,107.362562514009
2024-11-20,51.7859311623639,24.6809233599004,105.997561717248
2024-11-21,51.4143384123677,24.5703822176833,106.235297562687
2024-11-22,67.6154271265105,33.0233496442428,137.924077580713
2024-11-23,67.5730219982582,31.4602105250393,140.9202100429
2024-11-24,67.7334104117004,32.6302839895083,141.430235501577
2024-11-25,92.521745199915,43.9224983185089,214.580519176551
2024-11-26,91.9538293467743,43.5809674913869,214.848345198467
2024-11-27,91.7907104425941,44.0209135127685,217.507691070174
2024-11-28,91.9691256686073,42.7337128056932,215.119403540915
2024-11-29,125.928238876121,41.2788418236781,448.911656436919
2024-11-30,122.132111328022,55.8604741740401,278.204836178298
