"parameter","prior","prior_mean","prior_sd","post_mean","post_sd","post_median","post_lo95","post_hi95","contraction","prior_influential"
"R_G","lognormal(log(1.300), 0.300)",1.35983621788133,0.417304210635423,1.27948263126602,0.0188344472513062,1.2793614654969,1.24299482831044,1.31654309340959,0.955,FALSE
"phi_E","2*beta(2.0,2.0)-1",0,0.447213595499958,0.415738113991504,0.279869166090539,0.45044880307484,-0.193298328506486,0.863402543828113,0.374,TRUE
"phi_C","2*beta(2.0,2.0)-1",0,0.447213595499958,0.247643073679173,0.342299021735439,0.275220568063191,-0.485321392335974,0.815734454604511,0.235,TRUE
"B1","normal(0, 1.0)",0,1,0.763242941954858,0.0683829841141188,0.763063066210349,0.632970325698412,0.898178587495184,0.932,FALSE
"B2","normal(0, 1.0)",0,1,0.386877948082915,0.194247246657436,0.385360818663974,0.0136073120842305,0.780438576298334,0.806,FALSE
"mu_mu_E[1]","normal(3.219, 2.0)",3.2188758248682,2,3.09161681332185,0.243030331705463,3.09343110448441,2.58313575159308,3.58379706622611,0.878,FALSE
"mu_mu_C[1]","normal(-0.693, 2.0)",-0.693147180559945,2,0.0678732520712726,0.204187427011315,0.0553297094182969,-0.308871307234663,0.526598541330401,0.898,FALSE
"sigma_eps_E","half-cauchy(0, 2.0)",NA,NA,0.377522852774877,0.120764179482298,0.355980057903878,0.208147969676623,0.67997627236921,NA,FALSE
"sigma_eps_C","half-cauchy(0, 2.0)",NA,NA,0.33291914498938,0.107714515894087,0.313595778716241,0.185613856811329,0.599004767910457,NA,FALSE
"sigma_r_E","half-cauchy(0, 2.0)",NA,NA,0.554830569016049,0.0250660355315844,0.553980381782434,0.507183249503571,0.606493873086516,NA,FALSE
"sigma_r_C","half-cauchy(0, 2.0)",NA,NA,1.0877660105592,0.0331981170172338,1.08751833568853,1.02368990814035,1.1538343909048,NA,FALSE
"sigma_mu_E","half-cauchy(0, 2.0)",NA,NA,12.4948051770871,227.3291611834,2.01384335540553,0.0819642529626557,54.038094178467,NA,FALSE
"sigma_mu_C","half-cauchy(0, 2.0)",NA,NA,287.861391555011,24600.1496204296,2.01235728323324,0.087385845353357,46.4088900447563,NA,FALSE
"B1_C","normal(0, 1.0)",0,1,-0.402357097887011,0.0679296976533217,-0.402606093410286,-0.53446069757532,-0.269284653414751,0.932,FALSE
"R_G_boat","lognormal(log(4.000), 0.500)",4.53259381226731,2.41560213284352,4.53936005529287,2.37987809859563,4.04291317293024,1.51923628825012,10.5860501154141,0.015,TRUE
