"tau_boat_prior_mu","scale_factor","boat_catch_median","boat_lo95","boat_hi95","boat_pct_change","port_total_median","port_lo95","port_hi95","port_pct_change","is_current_prior"
0.9,0.75,32480,23180,46533,-25,72207,62400,86207,-13,FALSE
1,0.8333,36089,25756,51704,-16.7,75798,64973,91447,-8.7,FALSE
1.2,1,43307,30907,62045,0,83018,70141,101913,0,TRUE
1.5,1.25,54134,38634,77556,25,93888,77840,117384,13.1,FALSE
1.8,1.5,64960,46360,93067,50,104711,85590,133035,26.1,FALSE
