"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,39292,31338,23,79.8
"shore all-gear",289,145,17101,8312,50,48.6
"shore pot-closure",76,51,5731,1788,67,31.2
