"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",3.07687085070053,1.15401704434362,3.06763842002179,4.98414517328211,4717,1.0021
"mu_mu_C[1]",-0.177497659403581,-2.38844939746897,-0.105626245688374,1.67104762910145,4710,0.9997
"sigma_eps_E",0.584012767916485,0.498400637974223,0.58204904147497,0.681955197543727,2134,1.0016
"sigma_eps_C",0.244782150878823,0.14492389295332,0.240825908343391,0.369718291950158,2322,1.0009
"phi_E",0.505860516847476,0.298985054454091,0.511764048887809,0.675902168053898,1333,1.0013
"phi_C",0.817606948723218,0.610911741574396,0.833102762071638,0.941820482761262,2134,1.0019
"sigma_r_E",0.235499791168055,0.196480012637054,0.23467085018866,0.279765770556653,4114,1.0005
"sigma_r_C",1.0300724721539,0.963343709106746,1.02985843651934,1.09749938668867,10015,0.9999
"r_E",18.4794606875645,12.7764689944303,18.1585725920289,25.9037861024596,4230,1.0004
"r_C",0.945557453509552,0.830216628554125,0.94285506383843,1.07755009298951,9861,0.9999
"sigma_mu_E",1.00637826840955,0.0347044764578102,0.677750478471219,3.97262407452371,5305,1.0022
"sigma_mu_C",1.12334744435877,0.0276134990721023,0.696335661988082,4.98687953673866,6821,1.0004
"sigma_IE",1.06172901200122,0.642117436015931,1.02744936640486,1.66542525941507,11751,0.9997
"R_G",1.27896463361576,1.24379136713392,1.2789702774679,1.31497497263486,16688,0.9997
"R_G_boat",4.54046228857453,1.48484772397156,4.01282282992472,10.6451185051461,11824,1
"B1",0.517985108226818,0.288155531157305,0.519514290335833,0.746389468470554,2752,1.0019
"B2",0.481555018455393,-0.105534383045174,0.483843376048926,1.07320556224513,4981,0.9999
"B1_C",-0.325574257233185,-0.497293454962486,-0.327033855853584,-0.151227976821451,8482,0.9998
