"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",59513,48330,76499,0.711
"Trap",11495,10179,13238,0.137
"Ring Net",10324,8937,12277,0.123
"Snare",1996,1728,2347,0.024
"Other",411,238,705,0.005
