"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",35342,44587,40433,50019
"Dungeness_Kept","Expected_Catch",71157,83560,70909,102943
"Dungeness_Kept","Predictive_Catch",NA,83570,70836,103036
