"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",2.72735316496871,-0.050314655368292,2.74447106108058,5.03015252970646,385,1.0081
"mu_mu_C[1]",0.644706387920538,-2.20190476117888,0.877322034507708,2.39510384657,3247,1.0005
"sigma_eps_E",1.01976419356467,0.59339895603751,0.961094530883697,1.74956902358628,3118,1.0031
"sigma_eps_C",0.432251967533063,0.108507306170107,0.410860208147729,0.855557053511509,1216,1.0108
"phi_E",0.682244344080631,0.22299074886582,0.71604759787385,0.94178666712754,2408,1.0045
"phi_C",-0.121058589970386,-0.770807905470536,-0.161937855147689,0.697513981704099,5766,1.0003
"sigma_r_E",0.928748529815022,0.815889817220242,0.925444083671609,1.05874949397767,8674,1.0016
"sigma_r_C",0.773353085195994,0.656125714386736,0.773294130880426,0.904333096072357,9582,1
"r_E",1.1742473279729,0.892100060534212,1.16761491326233,1.50223188002812,10679,1.0012
"r_C",1.70637329051494,1.22276542443774,1.67228606969001,2.32287524299315,9570,1
"sigma_mu_E",1.73186445153166,0.0323902567449363,0.763355323430543,15.6986896324034,52,1.1041
"sigma_mu_C",1.33303691418397,0.0337531411768512,0.74637887497326,6.37492534546595,4608,1.0004
"sigma_IE",0.198162808279593,0.00511254437264228,0.142059993988294,0.746158831269729,14699,0.9999
"R_G",1.28031287636998,0.676734759223211,1.23414943477849,2.19177632538435,16650,1.0003
"R_G_boat",3.55265535724566,3.23988022708471,3.54576330761278,3.87920118488433,11996,1
"B1",0.263365489441188,-0.0509426564753408,0.261556467315118,0.56675564963182,15532,1.0001
"B2",0.518982963723848,-0.180095700822307,0.507151393241106,1.33452461868733,921,1.002
"B1_C",-0.00811924420463548,-0.315116214412589,-0.00478498691942052,0.291694642987942,9695,1.0018
