"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1656,1140,2748,1213,914,1677
"2024-10",3040,2351,4163,2135,1727,2662
"2024-11",2623,2000,3658,1954,1524,2488
"2024-12",9164,8369,10275,2281,1820,2882
"2025-01",6817,6337,7558,2275,1807,2882
"2025-02",1563,1303,1951,1511,1159,1984
"2025-03",1252,899,1871,1670,1390,2009
"2025-04",2901,2174,3968,3191,2627,3888
"2025-05",5697,3540,9973,3560,2850,4456
"2025-06",4486,2801,7803,3422,2587,4486
"2025-07",11510,6036,22987,7421,5167,10629
"2025-08",14700,7703,27426,7914,5582,11280
"2025-09",4128,2374,8107,2867,1987,4220
