"data_type","day_index","event_date","observed","fitted_mean","pit","p_zero","in_50","in_95"
"gear",2,"2024-09-17",30,31.001,0.5528,0.00042,TRUE,TRUE
"gear",3,"2024-09-18",29,31.001,0.5291,0.00042,TRUE,TRUE
"gear",4,"2024-09-19",55,31.001,0.9051,0.00042,FALSE,TRUE
"gear",5,"2024-09-20",29,31.001,0.5291,0.00042,TRUE,TRUE
"gear",6,"2024-09-21",48,63.446,0.3889,6e-05,TRUE,TRUE
"gear",9,"2024-09-24",50,31.001,0.8671,0.00042,FALSE,TRUE
"gear",10,"2024-09-25",13,31.001,0.1267,0.00042,FALSE,TRUE
"gear",12,"2024-09-27",34,31.001,0.6402,0.00042,TRUE,TRUE
"gear",13,"2024-09-28",79,63.446,0.7292,6e-05,TRUE,TRUE
"gear",16,"2024-10-01",30,29.439,0.5881,0.00048,TRUE,TRUE
"gear",18,"2024-10-03",45,29.439,0.8417,0.00048,FALSE,TRUE
"gear",19,"2024-10-04",29,29.439,0.5643,0.00048,TRUE,TRUE
"gear",20,"2024-10-05",72,60.241,0.7018,7e-05,TRUE,TRUE
"gear",23,"2024-10-08",30,29.439,0.5881,0.00048,TRUE,TRUE
"gear",24,"2024-10-09",29,29.439,0.5643,0.00048,TRUE,TRUE
"gear",26,"2024-10-11",14,29.439,0.1646,0.00048,FALSE,TRUE
"gear",27,"2024-10-12",62,60.241,0.5989,7e-05,TRUE,TRUE
"gear",28,"2024-10-13",64,60.241,0.6213,7e-05,TRUE,TRUE
"gear",30,"2024-10-15",27,27.781,0.5535,0.00054,TRUE,TRUE
"gear",31,"2024-10-16",37,27.781,0.7662,0.00054,FALSE,TRUE
"gear",32,"2024-10-17",43,27.781,0.8485,0.00054,FALSE,TRUE
"gear",33,"2024-10-18",39,27.781,0.7971,0.00054,FALSE,TRUE
"gear",34,"2024-10-19",62,56.873,0.639,8e-05,TRUE,TRUE
"gear",36,"2024-10-21",29,27.781,0.6039,0.00054,TRUE,TRUE
"gear",37,"2024-10-22",25,27.781,0.4997,0.00054,TRUE,TRUE
"gear",38,"2024-10-23",35,27.781,0.7316,0.00054,TRUE,TRUE
"gear",39,"2024-10-24",24,27.781,0.4717,0.00054,TRUE,TRUE
"gear",40,"2024-10-25",10,27.781,0.0906,0.00054,FALSE,TRUE
"gear",41,"2024-10-26",36,56.873,0.2816,8e-05,TRUE,TRUE
"gear",42,"2024-10-27",18,56.873,0.0621,8e-05,FALSE,TRUE
"gear",45,"2024-10-30",18,25.587,0.3472,0.00068,TRUE,TRUE
"gear",46,"2024-10-31",12,25.587,0.1639,0.00068,FALSE,TRUE
"gear",47,"2024-11-01",33,25.587,0.7456,0.00068,TRUE,TRUE
"gear",48,"2024-11-02",79,52.428,0.8354,1e-04,FALSE,TRUE
"gear",51,"2024-11-05",8,25.587,0.0701,0.00068,FALSE,TRUE
"gear",52,"2024-11-06",17,25.587,0.3153,0.00068,TRUE,TRUE
"gear",53,"2024-11-07",25,25.587,0.5602,0.00068,TRUE,TRUE
"gear",54,"2024-11-08",36,25.587,0.7965,0.00068,FALSE,TRUE
"gear",55,"2024-11-09",22,52.428,0.1246,1e-04,FALSE,TRUE
"gear",59,"2024-11-13",25,24.989,0.5767,0.00075,TRUE,TRUE
"gear",60,"2024-11-14",43,24.989,0.8911,0.00075,FALSE,TRUE
"gear",61,"2024-11-15",46,24.989,0.9151,0.00075,FALSE,TRUE
"gear",62,"2024-11-16",57,51.255,0.6543,0.00012,TRUE,TRUE
"gear",65,"2024-11-19",13,24.989,0.2023,0.00075,FALSE,TRUE
"gear",66,"2024-11-20",0,24.989,4e-04,0.00075,FALSE,FALSE
"gear",67,"2024-11-21",15,24.989,0.2644,0.00075,TRUE,TRUE
"gear",68,"2024-11-22",6,24.989,0.0405,0.00075,FALSE,TRUE
"gear",69,"2024-11-23",23,51.255,0.1461,0.00012,FALSE,TRUE
"gear",72,"2024-11-26",26,31.363,0.4569,0.00045,TRUE,TRUE
"gear",73,"2024-11-27",33,31.363,0.618,0.00045,TRUE,TRUE
"gear",75,"2024-11-29",51,65.493,0.5006,0.00015,TRUE,TRUE
"gear",76,"2024-11-30",123,63.947,0.9285,7e-05,FALSE,TRUE
"catch",2,"2024-09-17",3,5.321,0.3831,0.09278,TRUE,TRUE
"catch",2,"2024-09-17",27,14.632,0.8619,0.02298,FALSE,TRUE
"catch",2,"2024-09-17",0,2.66,0.1026,0.2052,FALSE,TRUE
"catch",2,"2024-09-17",1,2.66,0.3098,0.2052,TRUE,TRUE
"catch",3,"2024-09-18",0,2.66,0.1026,0.2052,FALSE,TRUE
"catch",3,"2024-09-18",3,2.66,0.6495,0.2052,TRUE,TRUE
"catch",3,"2024-09-18",0,2.66,0.1026,0.2052,FALSE,TRUE
"catch",3,"2024-09-18",12,5.321,0.9077,0.09278,FALSE,TRUE
"catch",4,"2024-09-19",0,2.66,0.1026,0.2052,FALSE,TRUE
"catch",4,"2024-09-19",5,2.66,0.8374,0.2052,FALSE,TRUE
"catch",4,"2024-09-19",0,2.66,0.1026,0.2052,FALSE,TRUE
"catch",5,"2024-09-20",11,13.302,0.5181,0.02642,TRUE,TRUE
"catch",5,"2024-09-20",2,2.66,0.4998,0.2052,TRUE,TRUE
"catch",5,"2024-09-20",1,2.66,0.3098,0.2052,TRUE,TRUE
"catch",5,"2024-09-20",6,3.991,0.7691,0.13161,FALSE,TRUE
"catch",5,"2024-09-20",0,3.991,0.0658,0.13161,FALSE,TRUE
"catch",5,"2024-09-20",6,3.991,0.7691,0.13161,FALSE,TRUE
"catch",5,"2024-09-20",0,2.66,0.1026,0.2052,FALSE,TRUE
