"data_type","day_index","event_date","observed","fitted_mean","pit","p_zero","in_50","in_95"
"trailer",2,"2024-09-17",5,5.195,0.5644,0.04628,TRUE,TRUE
"trailer",3,"2024-09-18",9,5.195,0.8662,0.04628,FALSE,TRUE
"trailer",4,"2024-09-19",3,5.195,0.3132,0.04628,TRUE,TRUE
"trailer",5,"2024-09-20",1,5.195,0.0891,0.04628,FALSE,TRUE
"trailer",5,"2024-09-20",0,5.195,0.0231,0.04628,FALSE,FALSE
"trailer",9,"2024-09-24",3,5.195,0.3132,0.04628,TRUE,TRUE
"trailer",12,"2024-09-27",5,5.195,0.5644,0.04628,TRUE,TRUE
"trailer",13,"2024-09-28",12,11.605,0.6163,0.01104,TRUE,TRUE
"trailer",16,"2024-10-01",7,3.99,0.8593,0.07548,FALSE,TRUE
"trailer",18,"2024-10-03",4,3.99,0.5811,0.07548,TRUE,TRUE
"trailer",19,"2024-10-04",5,3.99,0.7014,0.07548,TRUE,TRUE
"trailer",20,"2024-10-05",12,8.867,0.7694,0.01842,FALSE,TRUE
"trailer",23,"2024-10-08",0,3.99,0.0377,0.07548,FALSE,TRUE
"trailer",24,"2024-10-09",3,3.99,0.4365,0.07548,TRUE,TRUE
"trailer",26,"2024-10-11",3,3.99,0.4365,0.07548,TRUE,TRUE
"trailer",27,"2024-10-12",9,8.867,0.5919,0.01842,TRUE,TRUE
"trailer",28,"2024-10-13",7,8.867,0.4361,0.01842,TRUE,TRUE
"trailer",30,"2024-10-15",2,1.037,0.8108,0.41436,FALSE,TRUE
"trailer",31,"2024-10-16",2,1.037,0.8108,0.41436,FALSE,TRUE
"trailer",32,"2024-10-17",2,1.037,0.8108,0.41436,FALSE,TRUE
"trailer",33,"2024-10-18",1,1.037,0.5728,0.41436,TRUE,TRUE
"trailer",34,"2024-10-19",0,2.335,0.0931,0.18628,FALSE,TRUE
"trailer",36,"2024-10-21",1,1.037,0.5728,0.41436,TRUE,TRUE
"trailer",37,"2024-10-22",0,1.037,0.2072,0.41436,FALSE,TRUE
"trailer",38,"2024-10-23",0,1.037,0.2072,0.41436,FALSE,TRUE
"trailer",39,"2024-10-24",2,1.037,0.8108,0.41436,FALSE,TRUE
"trailer",40,"2024-10-25",0,1.037,0.2072,0.41436,FALSE,TRUE
"trailer",41,"2024-10-26",1,2.335,0.3051,0.18628,TRUE,TRUE
"trailer",45,"2024-10-30",1,1.148,0.5475,0.39327,TRUE,TRUE
"trailer",47,"2024-11-01",2,1.148,0.7842,0.39327,FALSE,TRUE
"trailer",51,"2024-11-05",0,1.148,0.1966,0.39327,FALSE,TRUE
"trailer",52,"2024-11-06",1,1.148,0.5475,0.39327,TRUE,TRUE
"trailer",53,"2024-11-07",4,1.148,0.958,0.39327,FALSE,TRUE
"trailer",54,"2024-11-08",1,1.148,0.5475,0.39327,TRUE,TRUE
"trailer",55,"2024-11-09",0,2.599,0.0883,0.17651,FALSE,TRUE
"trailer",58,"2024-11-12",0,0.204,0.4172,0.83432,TRUE,TRUE
"trailer",59,"2024-11-13",0,0.204,0.4172,0.83432,TRUE,TRUE
"trailer",60,"2024-11-14",0,0.204,0.4172,0.83432,TRUE,TRUE
"trailer",65,"2024-11-19",0,0.204,0.4172,0.83432,TRUE,TRUE
"trailer",66,"2024-11-20",0,0.204,0.4172,0.83432,TRUE,TRUE
"trailer",67,"2024-11-21",0,0.204,0.4172,0.83432,TRUE,TRUE
"trailer",68,"2024-11-22",0,0.204,0.4172,0.83432,TRUE,TRUE
"trailer",72,"2024-11-26",1,1.073,0.6011,0.46087,TRUE,TRUE
"trailer",76,"2024-11-30",2,2.386,0.5735,0.24834,TRUE,TRUE
"osp",3,"2024-09-18",23,11.143,0.9026,0.03355,FALSE,TRUE
"osp",4,"2024-09-19",11,10.763,0.6148,0.03478,TRUE,TRUE
"osp",5,"2024-09-20",8,10.68,0.4701,0.0352,TRUE,TRUE
"osp",6,"2024-09-21",53,25.095,0.9135,0.01221,FALSE,TRUE
"osp",7,"2024-09-22",58,25.156,0.9335,0.01237,FALSE,TRUE
"osp",11,"2024-09-26",8,10.609,0.4716,0.03565,TRUE,TRUE
"osp",12,"2024-09-27",5,10.481,0.2948,0.03597,TRUE,TRUE
"osp",13,"2024-09-28",12,23.239,0.3087,0.01327,TRUE,TRUE
"osp",14,"2024-09-29",18,23.478,0.4747,0.01312,TRUE,TRUE
"osp",15,"2024-09-30",18,8.593,0.9025,0.04664,FALSE,TRUE
"osp",17,"2024-10-02",5,8.088,0.3986,0.05087,TRUE,TRUE
"osp",20,"2024-10-05",31,18.861,0.8341,0.01677,FALSE,TRUE
"osp",24,"2024-10-09",5,8.128,0.3968,0.05043,TRUE,TRUE
"osp",26,"2024-10-11",3,8.021,0.2404,0.05145,FALSE,TRUE
"osp",28,"2024-10-13",9,17.871,0.3054,0.01776,TRUE,TRUE
"osp",29,"2024-10-14",4,2.191,0.8257,0.24877,FALSE,TRUE
"osp",30,"2024-10-15",5,2.204,0.8888,0.24701,FALSE,TRUE
"osp",34,"2024-10-19",0,4.629,0.0568,0.11351,FALSE,TRUE
"catch",2,"2024-09-17",0,6.459,0.1122,0.22447,FALSE,TRUE
"catch",6,"2024-09-21",6,4.606,0.7745,0.27911,FALSE,TRUE
"catch",12,"2024-09-27",0,4.306,0.1424,0.28488,FALSE,TRUE
"catch",18,"2024-10-03",6,8.163,0.5921,0.17673,TRUE,TRUE
"catch",20,"2024-10-05",15,8.82,0.8318,0.1732,FALSE,TRUE
"catch",26,"2024-10-11",6,2.721,0.8708,0.34119,FALSE,TRUE
"catch",27,"2024-10-12",0,11.76,0.0723,0.14466,FALSE,TRUE
"catch",27,"2024-10-12",0,8.82,0.0866,0.1732,FALSE,TRUE
"catch",28,"2024-10-13",8,8.82,0.6663,0.1732,TRUE,TRUE
"catch",32,"2024-10-17",1,4.963,0.3146,0.24104,TRUE,TRUE
"catch",32,"2024-10-17",4,9.926,0.4337,0.15666,TRUE,TRUE
"catch",32,"2024-10-17",4,4.963,0.6221,0.24104,TRUE,TRUE
"catch",39,"2024-10-24",12,7.445,0.8136,0.18756,FALSE,TRUE
"catch",45,"2024-10-30",12,12.757,0.6663,0.13434,TRUE,TRUE
"catch",53,"2024-11-07",24,15.947,0.8003,0.11714,FALSE,TRUE
"catch",54,"2024-11-08",6,6.379,0.6649,0.20638,TRUE,TRUE
"catch",54,"2024-11-08",6,6.379,0.6649,0.20638,TRUE,TRUE
