"tau_boat_prior_mu","scale_factor","boat_catch_median","boat_lo95","boat_hi95","boat_pct_change","port_total_median","port_lo95","port_hi95","port_pct_change","is_current_prior"
0.9,0.75,23070,9594,44209,-25,63280,49356,84986,-10.8,FALSE
1,0.8333,25633,10660,49121,-16.7,65841,50420,89915,-7.2,FALSE
1.2,1,30760,12793,58945,0,70953,52572,99813,0,TRUE
1.5,1.25,38450,15991,73682,25,78615,55819,114596,10.8,FALSE
1.8,1.5,46140,19189,88418,50,86308,59029,129456,21.6,FALSE
