"data_type","day_index","event_date","observed","fitted_mean","pit","p_zero","in_50","in_95"
"gear",1,"2024-12-01",76,68.499,0.6484,1e-05,TRUE,TRUE
"gear",3,"2024-12-03",27,24.332,0.6441,0.00032,TRUE,TRUE
"gear",4,"2024-12-04",30,24.332,0.7187,0.00032,TRUE,TRUE
"gear",5,"2024-12-05",20,24.332,0.4265,0.00032,TRUE,TRUE
"gear",6,"2024-12-06",25,24.332,0.5876,0.00032,TRUE,TRUE
"gear",7,"2024-12-07",31,68.499,0.1148,1e-05,FALSE,TRUE
"gear",10,"2024-12-10",23,24.332,0.5261,0.00032,TRUE,TRUE
"gear",11,"2024-12-11",20,24.332,0.4265,0.00032,TRUE,TRUE
"gear",12,"2024-12-12",39,24.332,0.8719,0.00032,FALSE,TRUE
"gear",13,"2024-12-13",22,24.332,0.4937,0.00032,TRUE,TRUE
"gear",14,"2024-12-14",37,68.499,0.1776,1e-05,FALSE,TRUE
"gear",15,"2024-12-15",33,68.499,0.1345,1e-05,FALSE,TRUE
"gear",18,"2024-12-18",32,24.332,0.7615,0.00032,FALSE,TRUE
"gear",20,"2024-12-20",22,24.332,0.4937,0.00032,TRUE,TRUE
"gear",21,"2024-12-21",20,68.499,0.0344,1e-05,FALSE,TRUE
"gear",22,"2024-12-22",19,68.499,0.0296,1e-05,FALSE,TRUE
"gear",23,"2024-12-23",29,24.332,0.6952,0.00032,TRUE,TRUE
"gear",24,"2024-12-24",31,24.332,0.7408,0.00032,TRUE,TRUE
"gear",26,"2024-12-26",33,24.332,0.7809,0.00032,FALSE,TRUE
"gear",27,"2024-12-27",50,24.332,0.9564,0.00032,FALSE,TRUE
"gear",28,"2024-12-28",58,68.499,0.4422,1e-05,TRUE,TRUE
"gear",31,"2024-12-31",96,73.882,0.7603,1e-05,FALSE,TRUE
"gear",32,"2025-01-01",55,78.522,0.3268,1e-05,TRUE,TRUE
"gear",33,"2025-01-02",28,25.826,0.6272,0.00026,TRUE,TRUE
"gear",34,"2025-01-03",55,25.826,0.9644,0.00026,FALSE,TRUE
"gear",35,"2025-01-04",39,72.702,0.1738,1e-05,FALSE,TRUE
"gear",38,"2025-01-07",19,25.826,0.3525,0.00026,TRUE,TRUE
"gear",39,"2025-01-08",29,25.826,0.6529,0.00026,TRUE,TRUE
"gear",40,"2025-01-09",35,25.826,0.7811,0.00026,FALSE,TRUE
"gear",41,"2025-01-10",34,25.826,0.7628,0.00026,FALSE,TRUE
"gear",42,"2025-01-11",149,72.702,0.9607,1e-05,FALSE,TRUE
"gear",45,"2025-01-14",50,25.826,0.9423,0.00026,FALSE,TRUE
"gear",47,"2025-01-16",16,25.826,0.2548,0.00026,TRUE,TRUE
"gear",48,"2025-01-17",47,25.826,0.9234,0.00026,FALSE,TRUE
"gear",49,"2025-01-18",62,72.702,0.447,1e-05,TRUE,TRUE
"gear",52,"2025-01-21",16,25.826,0.2548,0.00026,TRUE,TRUE
"gear",53,"2025-01-22",8,25.826,0.0526,0.00026,FALSE,TRUE
"gear",54,"2025-01-23",16,25.826,0.2548,0.00026,TRUE,TRUE
"gear",55,"2025-01-24",9,25.826,0.0701,0.00026,FALSE,TRUE
"gear",56,"2025-01-25",68,72.702,0.5169,1e-05,TRUE,TRUE
"gear",60,"2025-01-29",32,25.826,0.7225,0.00026,TRUE,TRUE
"gear",61,"2025-01-30",24,25.826,0.5132,0.00026,TRUE,TRUE
"gear",62,"2025-01-31",14,25.826,0.1934,0.00026,FALSE,TRUE
"gear",63,"2025-02-01",48,54.186,0.4792,2e-05,TRUE,TRUE
"gear",67,"2025-02-05",2,19.243,0.006,0.00074,FALSE,FALSE
"gear",68,"2025-02-06",4,19.243,0.0248,0.00074,FALSE,FALSE
"gear",69,"2025-02-07",13,19.243,0.3106,0.00074,TRUE,TRUE
"gear",70,"2025-02-08",65,58.481,0.6548,2e-05,TRUE,TRUE
"gear",73,"2025-02-11",20,19.243,0.5968,0.00074,TRUE,TRUE
"gear",74,"2025-02-12",11,19.243,0.2268,0.00074,FALSE,TRUE
"gear",76,"2025-02-14",23,19.243,0.6954,0.00074,TRUE,TRUE
"gear",77,"2025-02-15",65,54.186,0.7055,2e-05,TRUE,TRUE
