"Component","Effort_hrs","Dungeness"
"Shore (Pot closure)",4661.25833333333,5959.13684024399
"Shore (All gear)",18862.7277777778,15755.1370022609
"Private Boat (Pot closure)",180.211764705882,400.296705882353
"Private Boat (All gear)",3708.74770992366,11169.6296976797
"Commercial/Charter",278.545454545455,11821.1322820037
"PORT TOTAL",27691.4910402861,45105.3325280706
