"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected"
"shore (Pot closure)",4486,4754,6,5869,6262,6.7,"BSS"
"shore (All gear)",18104,24011,32.6,15665,20666,31.9,"BSS"
"private_boat (Pot closure)",584,NA,NA,1170,NA,NA,"PE"
"private_boat (All gear)",11886,14716,23.8,36468,43333,18.8,"BSS"
"comm_charter (census)",283,NA,NA,11986,NA,NA,"Census"
