"period","date_start","date_end","n_days","n_days_with_effort","n_days_with_interview","frac_days_effort","frac_days_interview","n_effort_obs","n_interviews","n_ie_obs","observed","omega_E_ci95_width","omega_C_ci95_width"
1,"2024-12-01","2024-12-01",1,1,1,1,1,1,31,0,TRUE,0.999502540733699,0.828203589640121
2,"2024-12-02","2024-12-02",1,0,1,0,1,0,1,0,TRUE,2.18127834648557,1.05041078553868
3,"2024-12-03","2024-12-03",1,1,1,1,1,1,11,0,TRUE,1.13948399066143,0.918000670721738
4,"2024-12-04","2024-12-04",1,1,1,1,1,1,13,0,TRUE,1.11861829687219,0.878946023923852
5,"2024-12-05","2024-12-05",1,1,1,1,1,1,10,0,TRUE,1.14489663499644,0.942922140270432
6,"2024-12-06","2024-12-06",1,1,1,1,1,1,11,1,TRUE,1.13214180985776,0.916155749755165
7,"2024-12-07","2024-12-07",1,1,1,1,1,1,4,0,TRUE,1.11941392278135,1.10014284595749
8,"2024-12-08","2024-12-08",1,0,0,0,0,0,0,0,FALSE,2.32659638990084,1.26710536665289
9,"2024-12-09","2024-12-09",1,0,0,0,0,0,0,0,FALSE,2.28701802477644,1.27142116379713
10,"2024-12-10","2024-12-10",1,1,1,1,1,1,9,0,TRUE,1.16936923964863,1.09296708024729
11,"2024-12-11","2024-12-11",1,1,1,1,1,1,6,0,TRUE,1.17174388155398,0.978321152193518
12,"2024-12-12","2024-12-12",1,1,1,1,1,1,14,0,TRUE,1.05551798465575,0.891500072954898
13,"2024-12-13","2024-12-13",1,1,1,1,1,1,11,0,TRUE,1.17125290885327,0.915552662681364
14,"2024-12-14","2024-12-14",1,1,1,1,1,1,6,0,TRUE,1.06367467940697,0.992330154181247
15,"2024-12-15","2024-12-15",1,1,1,1,1,1,6,0,TRUE,1.10354674073466,1.17801967395814
16,"2024-12-16","2024-12-16",1,0,0,0,0,0,0,0,FALSE,2.32511117597765,1.28702517360053
17,"2024-12-17","2024-12-17",1,0,0,0,0,0,0,0,FALSE,2.31386825638128,1.26895413523003
18,"2024-12-18","2024-12-18",1,1,1,1,1,1,6,0,TRUE,1.10905762103632,1.07311811350382
19,"2024-12-19","2024-12-19",1,0,0,0,0,0,0,0,FALSE,2.17812228308839,1.17572818244303
20,"2024-12-20","2024-12-20",1,1,1,1,1,1,8,0,TRUE,1.17246238251148,1.02017445266233
21,"2024-12-21","2024-12-21",1,1,1,1,1,1,6,0,TRUE,1.17865135006454,1.05612559850204
22,"2024-12-22","2024-12-22",1,1,1,1,1,1,5,0,TRUE,1.18721678718008,1.10554556950129
23,"2024-12-23","2024-12-23",1,1,1,1,1,1,9,0,TRUE,1.09703109655778,1.02420279355922
24,"2024-12-24","2024-12-24",1,1,1,1,1,1,6,0,TRUE,1.10593810562083,1.068206974701
25,"2024-12-25","2024-12-25",1,0,0,0,0,0,0,0,FALSE,2.17603296751094,1.1674625329939
26,"2024-12-26","2024-12-26",1,1,1,1,1,1,5,0,TRUE,1.07569220418607,1.02251363681499
27,"2024-12-27","2024-12-27",1,1,1,1,1,1,19,0,TRUE,1.03827151626753,0.869468367807074
28,"2024-12-28","2024-12-28",1,1,1,1,1,1,12,0,TRUE,1.04057759488323,0.985016382453411
29,"2024-12-29","2024-12-29",1,0,0,0,0,0,0,0,FALSE,2.30671828341922,1.17960058619142
30,"2024-12-30","2024-12-30",1,0,0,0,0,0,0,0,FALSE,2.39725758308268,1.19588226558664
31,"2024-12-31","2024-12-31",1,1,1,1,1,1,38,0,TRUE,1.4231289136027,0.965611997408877
32,"2025-01-01","2025-01-01",1,1,1,1,1,1,15,0,TRUE,1.4260801484956,0.992357902726065
33,"2025-01-02","2025-01-02",1,1,1,1,1,1,10,0,TRUE,1.09202254642166,0.975599039098048
34,"2025-01-03","2025-01-03",1,1,1,1,1,1,10,0,TRUE,1.00703085596221,0.952176514885235
35,"2025-01-04","2025-01-04",1,1,1,1,1,1,8,0,TRUE,1.093193595028,1.09752477260309
36,"2025-01-05","2025-01-05",1,0,0,0,0,0,0,0,FALSE,2.35279064684862,1.27100684404922
37,"2025-01-06","2025-01-06",1,0,0,0,0,0,0,0,FALSE,2.34349009109284,1.34545108304455
