"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"gear",311,-1258.79906514389,16.3607200565368,119.488802693047,50,-1139.31
"catch",1649,-3164.15850259691,46.7965276884294,44.8254956119921,0,-3119.33
