"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",35342,44493,40317,49859
"Dungeness_Kept","Expected_Catch",71157,83599,70574,102079
"Dungeness_Kept","Predictive_Catch",NA,83600,70551,102080
