"fit","R_G_interpretation","R_G_boat_interpretation"
"shore_ring_net_only_Dungeness_Kept","1.32 gear/crabber (1.26-1.39)","3.97 gear/group (1.50-10.70)"
"shore_all_gear_Dungeness_Kept","1.28 gear/crabber (1.24-1.32)","4.00 gear/group (1.49-10.78)"
"private_boat_all_gear_Dungeness_Kept","1.22 gear/crabber (0.68-2.19)","3.55 gear/group (3.23-3.88)"
