"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",59339,47941,75459,0.71
"Trap",11471,10166,13115,0.137
"Ring Net",10313,8877,12234,0.123
"Snare",1998,1718,2345,0.024
"Other",407,235,707,0.005
