"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1666,1305,2265,1202,934,1654
"2024-10",3212,2662,3973,2247,1855,2757
"2024-11",2491,1915,3278,1860,1457,2411
"2024-12",9691,8897,10814,2276,1878,2841
"2025-01",7365,6825,8164,2474,2000,3201
"2025-02",1721,1401,2194,1535,1187,2049
"2025-03",1869,1316,2844,2067,1638,2739
"2025-04",3531,2493,5247,3384,2666,4447
"2025-05",7994,5302,13380,3964,3127,5286
"2025-06",4398,2703,7679,3320,2385,4924
"2025-07",12619,7171,23730,7407,5542,10446
"2025-08",19310,12582,31103,8343,6573,10905
"2025-09",5876,3343,11127,3611,2708,5052
