"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",31840,24272,43911,0.598
"Trap",11397,10013,13119,0.214
"Ring Net",7981,6845,9394,0.15
"Snare",1887,1638,2208,0.035
"Other",160,84,313,0.003
