"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1396,1038,2037,1059,797,1523
"2024-10",2765,2204,3546,2024,1625,2540
"2024-11",2415,1850,3179,1830,1426,2353
"2024-12",8977,8301,9906,2096,1714,2641
"2025-01",6835,6418,7430,2354,1868,3092
"2025-02",1587,1313,2033,1473,1134,1995
"2025-03",1393,1011,2027,1924,1513,2580
"2025-04",2466,1778,3529,2847,2202,3893
"2025-05",3942,2632,6152,2984,2265,4197
"2025-06",3348,2113,5551,2907,2062,4382
"2025-07",6587,3831,12094,4978,3574,7018
"2025-08",8035,4753,13871,4899,3637,6694
"2025-09",2870,1836,4814,2116,1559,2950
