"data_type","day_index","event_date","observed","fitted_mean","pit","p_zero","in_50","in_95"
"trailer",2,"2024-09-17",5,5.714,0.58,0.11768,TRUE,TRUE
"trailer",3,"2024-09-18",9,5.714,0.799,0.11768,FALSE,TRUE
"trailer",4,"2024-09-19",3,5.714,0.4011,0.11768,TRUE,TRUE
"trailer",5,"2024-09-20",1,5.714,0.1772,0.11768,FALSE,TRUE
"trailer",5,"2024-09-20",0,5.714,0.0588,0.11768,FALSE,TRUE
"trailer",9,"2024-09-24",3,5.714,0.4011,0.11768,TRUE,TRUE
"trailer",12,"2024-09-27",5,5.714,0.58,0.11768,TRUE,TRUE
"trailer",13,"2024-09-28",12,16.328,0.5127,0.0409,TRUE,TRUE
"trailer",16,"2024-10-01",7,2.28,0.9431,0.27128,FALSE,TRUE
"trailer",18,"2024-10-03",4,2.28,0.8108,0.27128,FALSE,TRUE
"trailer",19,"2024-10-04",5,2.28,0.874,0.27128,FALSE,TRUE
"trailer",20,"2024-10-05",12,6.522,0.8479,0.10347,FALSE,TRUE
"trailer",23,"2024-10-08",0,2.28,0.1356,0.27128,FALSE,TRUE
"trailer",24,"2024-10-09",3,2.28,0.7158,0.27128,TRUE,TRUE
"trailer",26,"2024-10-11",3,2.28,0.7158,0.27128,TRUE,TRUE
"trailer",27,"2024-10-12",9,6.522,0.7524,0.10347,FALSE,TRUE
"trailer",28,"2024-10-13",7,6.522,0.6563,0.10347,TRUE,TRUE
"trailer",30,"2024-10-15",2,2.28,0.5768,0.27128,TRUE,TRUE
"trailer",31,"2024-10-16",2,2.28,0.5768,0.27128,TRUE,TRUE
"trailer",32,"2024-10-17",2,2.28,0.5768,0.27128,TRUE,TRUE
"trailer",33,"2024-10-18",1,2.28,0.383,0.27128,TRUE,TRUE
"trailer",34,"2024-10-19",0,6.522,0.0517,0.10347,FALSE,TRUE
"trailer",36,"2024-10-21",1,2.28,0.383,0.27128,TRUE,TRUE
"trailer",37,"2024-10-22",0,2.28,0.1356,0.27128,FALSE,TRUE
"trailer",38,"2024-10-23",0,2.28,0.1356,0.27128,FALSE,TRUE
"trailer",39,"2024-10-24",2,2.28,0.5768,0.27128,TRUE,TRUE
"trailer",40,"2024-10-25",0,2.28,0.1356,0.27128,FALSE,TRUE
"trailer",41,"2024-10-26",1,6.522,0.1558,0.10347,FALSE,TRUE
"trailer",45,"2024-10-30",1,2.28,0.383,0.27128,TRUE,TRUE
"trailer",47,"2024-11-01",2,0.78,0.8676,0.56033,FALSE,TRUE
