"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1698,1147,2948,1238,928,1715
"2024-10",3033,2346,4114,2132,1740,2653
"2024-11",2665,2037,3803,1964,1539,2501
"2024-12",9079,8332,10143,2173,1788,2684
"2025-01",7002,6504,7752,2478,1999,3179
"2025-02",1603,1335,2019,1526,1207,2010
"2025-03",1531,1092,2227,2031,1629,2623
"2025-04",2972,2131,4254,3298,2579,4284
"2025-05",5641,3384,10063,3419,2583,4641
"2025-06",4695,2738,8266,3629,2560,5303
"2025-07",11375,5852,22936,7140,4756,10483
"2025-08",14548,7470,27859,7423,5007,10864
"2025-09",4200,2379,8320,2855,1932,4240
