"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",48132,31369,74822,0.674
"Trap",11577,10302,13143,0.162
"Ring Net",9425,7723,11961,0.132
"Snare",1975,1704,2288,0.028
"Other",288,122,625,0.004
