"data_type","day_index","event_date","observed","fitted_mean","pit","p_zero","in_50","in_95"
"trailer",2,"2024-12-02",1,1.52,0.5128,0.38963,TRUE,TRUE
"trailer",3,"2024-12-03",2,1.52,0.7098,0.38963,TRUE,TRUE
"trailer",4,"2024-12-04",5,1.52,0.938,0.38963,FALSE,TRUE
"trailer",5,"2024-12-05",3,1.52,0.8273,0.38963,FALSE,TRUE
"trailer",6,"2024-12-06",2,1.52,0.7098,0.38963,TRUE,TRUE
"trailer",7,"2024-12-07",2,2.526,0.5584,0.2741,TRUE,TRUE
"trailer",10,"2024-12-10",1,1.52,0.5128,0.38963,TRUE,TRUE
"trailer",11,"2024-12-11",0,1.52,0.1948,0.38963,FALSE,TRUE
"trailer",12,"2024-12-12",1,1.52,0.5128,0.38963,TRUE,TRUE
"trailer",13,"2024-12-13",0,1.52,0.1948,0.38963,FALSE,TRUE
"trailer",14,"2024-12-14",0,2.526,0.137,0.2741,FALSE,TRUE
"trailer",15,"2024-12-15",2,2.526,0.5584,0.2741,TRUE,TRUE
"trailer",18,"2024-12-18",4,1.52,0.8968,0.38963,FALSE,TRUE
"trailer",20,"2024-12-20",1,1.52,0.5128,0.38963,TRUE,TRUE
"trailer",21,"2024-12-21",1,2.526,0.3786,0.2741,TRUE,TRUE
"trailer",22,"2024-12-22",1,2.526,0.3786,0.2741,TRUE,TRUE
"trailer",23,"2024-12-23",2,1.52,0.7098,0.38963,TRUE,TRUE
"trailer",24,"2024-12-24",1,1.52,0.5128,0.38963,TRUE,TRUE
"trailer",26,"2024-12-26",0,1.52,0.1948,0.38963,FALSE,TRUE
"trailer",27,"2024-12-27",2,1.52,0.7098,0.38963,TRUE,TRUE
"trailer",28,"2024-12-28",5,2.526,0.8424,0.2741,FALSE,TRUE
"trailer",31,"2024-12-31",2,4.209,0.4152,0.18861,TRUE,TRUE
"trailer",32,"2025-01-01",3,3.332,0.6083,0.22966,TRUE,TRUE
"trailer",33,"2025-01-02",0,1.204,0.2245,0.44892,FALSE,TRUE
"trailer",34,"2025-01-03",0,1.204,0.2245,0.44892,FALSE,TRUE
"trailer",35,"2025-01-04",0,2.004,0.163,0.32605,FALSE,TRUE
"trailer",38,"2025-01-07",0,1.204,0.2245,0.44892,FALSE,TRUE
"trailer",39,"2025-01-08",4,1.204,0.9329,0.44892,FALSE,TRUE
"trailer",40,"2025-01-09",1,1.204,0.576,0.44892,TRUE,TRUE
"trailer",41,"2025-01-10",1,1.204,0.576,0.44892,TRUE,TRUE
