"day_index","event_date","cpue_model_median","cpue_model_lo95","cpue_model_hi95","cpue_raw_interview","n_interviews"
1,"2024-09-16",0.660794779020225,0.413421179490501,1.01671136141828,NA,0
2,"2024-09-17",0.619890030849398,0.419952722132373,0.874558940492059,0.474738594738595,10
3,"2024-09-18",0.630245287706692,0.436057217939736,0.882893743077058,0.535897435897436,13
4,"2024-09-19",0.676131013097965,0.496356315833588,0.943533885158629,0.788975694444444,16
5,"2024-09-20",0.46219082915443,0.317699777309938,0.659628769911483,0.436458333333333,8
6,"2024-09-21",0.39390076027085,0.270259252784588,0.539883600652027,0.300517676767677,22
7,"2024-09-22",0.47671808079546,0.299766874495525,0.742224698661651,NA,0
8,"2024-09-23",0.677602257895788,0.430333546757556,1.0568821324869,NA,0
9,"2024-09-24",0.711055513091744,0.505099853123389,1.02029077466726,0.790696318264449,13
10,"2024-09-25",0.863097346822823,0.609876322541654,1.40075718644382,3.20833333333333,8
11,"2024-09-26",0.731354045264268,0.467290671248342,1.17966941996609,NA,0
12,"2024-09-27",0.52387914853122,0.383758341793335,0.743643044534786,0.540378431092717,14
13,"2024-09-28",0.49382203696047,0.384018991661171,0.630419363502591,0.513076771112485,42
14,"2024-09-29",0.491898929533788,0.319394707251885,0.757007266157475,NA,0
15,"2024-09-30",0.650669617388184,0.410855263280501,1.02603749201326,NA,0
16,"2024-10-01",0.58832325869,0.398983278041449,0.818101976288262,0.408976671476671,12
17,"2024-10-02",0.649610493958338,0.415413210828618,0.986064131827323,NA,0
18,"2024-10-03",0.65433589722398,0.472730925165887,0.890929982390531,0.799470226742954,22
19,"2024-10-04",0.470701665622726,0.333970923912754,0.663759403733934,0.370047015802534,13
20,"2024-10-05",0.445707257035006,0.324218954456542,0.599472443954768,0.562520562770563,25
21,"2024-10-06",0.491397208289763,0.321331277627928,0.747922226764816,NA,0
22,"2024-10-07",0.684586256234771,0.444375264017234,1.06725746557981,NA,0
23,"2024-10-08",0.709140041840447,0.51775302116065,0.986678785583652,0.731337181337181,11
24,"2024-10-09",0.773179154801809,0.57353726117067,1.10857157085898,1.00737633656888,14
25,"2024-10-10",0.714443871316751,0.459730422153748,1.1268748292078,NA,0
26,"2024-10-11",0.532977512836272,0.382760679042894,0.797900084214626,0.602272727272727,11
27,"2024-10-12",0.441936992528187,0.306018438295445,0.606243704341479,0.28008658008658,16
28,"2024-10-13",0.468175398378811,0.334474411063461,0.637266180993419,0.454108309990663,17
29,"2024-10-14",0.660158859217528,0.432588004480291,1.01263848015004,NA,0
30,"2024-10-15",0.666678105941837,0.481616170239465,0.93305653818155,0.742460317460317,14
31,"2024-10-16",0.666168222826675,0.497904597842635,0.915607463508783,0.688839285714286,16
32,"2024-10-17",0.639461198654303,0.483792772065338,0.842692197130815,0.691347144918574,28
33,"2024-10-18",0.446272767671561,0.323475084522213,0.599756644236645,0.435619047619048,25
34,"2024-10-19",0.412545969281692,0.301157339067635,0.546752804251004,0.337391127391127,30
35,"2024-10-20",0.443554245038759,0.271455949777363,0.716543630309249,NA,0
36,"2024-10-21",0.525052014035593,0.347093527794481,0.747179752446162,0.317063492063492,15
37,"2024-10-22",0.556298720021376,0.382264497714341,0.762436731270231,0.381851851851852,15
