"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",3403,3098,3919,6177,5722,6983
"2024-10",6070,5561,6759,10983,10240,12026
"2024-11",3402,2834,4186,5613,4801,6636
"2024-12",10216,9333,11586,6502,5409,7999
"2025-01",7383,6814,8363,5693,4689,7188
"2025-02",1782,1461,2275,3540,2812,4654
"2025-03",2143,1546,3349,5286,4271,6744
"2025-04",4877,3398,7756,10132,8083,13147
"2025-05",6018,4041,10038,11485,8998,15699
"2025-06",6600,3610,15135,12977,8835,22346
"2025-07",19795,10182,42182,35756,24517,61355
"2025-08",17783,9584,32880,33908,26132,47658
"2025-09",8339,4069,16371,15745,11840,22373
