"data_type","day_index","event_date","observed","fitted_mean","pit","p_zero","p_one","in_50","in_95"
"gear",1,"2024-12-01",76,68.264,0.6511,1e-05,3e-05,TRUE,TRUE
"gear",3,"2024-12-03",27,24.111,0.6506,0.00032,0.00114,TRUE,TRUE
"gear",4,"2024-12-04",30,24.111,0.7249,0.00032,0.00114,TRUE,TRUE
"gear",5,"2024-12-05",20,24.111,0.4324,0.00032,0.00114,TRUE,TRUE
"gear",6,"2024-12-06",25,24.111,0.5942,0.00032,0.00114,TRUE,TRUE
"gear",7,"2024-12-07",31,68.264,0.115,1e-05,3e-05,FALSE,TRUE
"gear",10,"2024-12-10",23,24.111,0.5326,0.00032,0.00114,TRUE,TRUE
"gear",11,"2024-12-11",20,24.111,0.4324,0.00032,0.00114,TRUE,TRUE
"gear",12,"2024-12-12",39,24.111,0.8763,0.00032,0.00114,FALSE,TRUE
"gear",13,"2024-12-13",22,24.111,0.5001,0.00032,0.00114,TRUE,TRUE
"gear",14,"2024-12-14",37,68.264,0.1781,1e-05,3e-05,FALSE,TRUE
"gear",15,"2024-12-15",33,68.264,0.1348,1e-05,3e-05,FALSE,TRUE
"gear",18,"2024-12-18",32,24.111,0.7674,0.00032,0.00114,FALSE,TRUE
"gear",20,"2024-12-20",22,24.111,0.5001,0.00032,0.00114,TRUE,TRUE
"gear",21,"2024-12-21",20,68.264,0.0343,1e-05,3e-05,FALSE,TRUE
"gear",22,"2024-12-22",19,68.264,0.0295,1e-05,3e-05,FALSE,TRUE
"gear",23,"2024-12-23",29,24.111,0.7015,0.00032,0.00114,TRUE,TRUE
"gear",24,"2024-12-24",31,24.111,0.7468,0.00032,0.00114,TRUE,TRUE
"gear",26,"2024-12-26",33,24.111,0.7866,0.00032,0.00114,FALSE,TRUE
"gear",27,"2024-12-27",50,24.111,0.9586,0.00032,0.00114,FALSE,TRUE
"gear",28,"2024-12-28",58,68.264,0.4443,1e-05,3e-05,TRUE,TRUE
"gear",31,"2024-12-31",96,73.646,0.7624,1e-05,2e-05,FALSE,TRUE
"gear",32,"2025-01-01",55,78.703,0.3252,0,2e-05,TRUE,TRUE
"gear",33,"2025-01-02",28,25.758,0.6293,0.00025,0.00091,TRUE,TRUE
"gear",34,"2025-01-03",55,25.758,0.9649,0.00025,0.00091,FALSE,TRUE
"gear",35,"2025-01-04",39,72.923,0.172,1e-05,2e-05,FALSE,TRUE
"gear",38,"2025-01-07",19,25.758,0.354,0.00025,0.00091,TRUE,TRUE
"gear",39,"2025-01-08",29,25.758,0.655,0.00025,0.00091,TRUE,TRUE
"gear",40,"2025-01-09",35,25.758,0.783,0.00025,0.00091,FALSE,TRUE
"gear",41,"2025-01-10",34,25.758,0.7647,0.00025,0.00091,FALSE,TRUE
"gear",42,"2025-01-11",149,72.923,0.9602,1e-05,2e-05,FALSE,TRUE
"gear",45,"2025-01-14",50,25.758,0.9431,0.00025,0.00091,FALSE,TRUE
"gear",47,"2025-01-16",16,25.758,0.2559,0.00025,0.00091,TRUE,TRUE
"gear",48,"2025-01-17",47,25.758,0.9244,0.00025,0.00091,FALSE,TRUE
"gear",49,"2025-01-18",62,72.923,0.4446,1e-05,2e-05,TRUE,TRUE
"gear",52,"2025-01-21",16,25.758,0.2559,0.00025,0.00091,TRUE,TRUE
"gear",53,"2025-01-22",8,25.758,0.0528,0.00025,0.00091,FALSE,TRUE
"gear",54,"2025-01-23",16,25.758,0.2559,0.00025,0.00091,TRUE,TRUE
"gear",55,"2025-01-24",9,25.758,0.0703,0.00025,0.00091,FALSE,TRUE
"gear",56,"2025-01-25",68,72.923,0.5145,1e-05,2e-05,TRUE,TRUE
"gear",60,"2025-01-29",32,25.758,0.7245,0.00025,0.00091,TRUE,TRUE
"gear",61,"2025-01-30",24,25.758,0.5152,0.00025,0.00091,TRUE,TRUE
"gear",62,"2025-01-31",14,25.758,0.1942,0.00025,0.00091,FALSE,TRUE
"gear",63,"2025-02-01",48,53.508,0.4879,2e-05,7e-05,TRUE,TRUE
"gear",67,"2025-02-05",2,18.896,0.0063,0.00077,0.00265,FALSE,FALSE
"gear",68,"2025-02-06",4,18.896,0.0258,0.00077,0.00265,FALSE,TRUE
"gear",69,"2025-02-07",13,18.896,0.3205,0.00077,0.00265,TRUE,TRUE
"gear",70,"2025-02-08",65,57.686,0.6643,2e-05,6e-05,TRUE,TRUE
"gear",73,"2025-02-11",20,18.896,0.6096,0.00077,0.00265,TRUE,TRUE
"gear",74,"2025-02-12",11,18.896,0.2347,0.00077,0.00265,FALSE,TRUE
"gear",76,"2025-02-14",23,18.896,0.7076,0.00077,0.00265,TRUE,TRUE
"gear",77,"2025-02-15",65,53.508,0.7145,2e-05,7e-05,TRUE,TRUE
"gear",81,"2025-02-19",12,18.896,0.277,0.00077,0.00265,TRUE,TRUE
"gear",82,"2025-02-20",30,18.896,0.8631,0.00077,0.00265,FALSE,TRUE
"gear",83,"2025-02-21",18,18.896,0.5338,0.00077,0.00265,TRUE,TRUE
"gear",84,"2025-02-22",28,53.508,0.169,2e-05,7e-05,FALSE,TRUE
"gear",87,"2025-02-25",11,18.896,0.2347,0.00077,0.00265,FALSE,TRUE
"gear",88,"2025-02-26",32,18.896,0.8916,0.00077,0.00265,FALSE,TRUE
"gear",89,"2025-02-27",32,18.896,0.8916,0.00077,0.00265,FALSE,TRUE
"gear",90,"2025-02-28",16,18.896,0.4512,0.00077,0.00265,TRUE,TRUE
"gear",91,"2025-03-01",105,50.625,0.9644,2e-05,7e-05,FALSE,TRUE
"gear",94,"2025-03-04",1,17.896,0.0024,0.00087,0.003,FALSE,FALSE
"gear",94,"2025-03-04",3,17.896,0.0156,0.00087,0.003,FALSE,FALSE
"gear",94,"2025-03-04",9,17.896,0.1721,0.00087,0.003,FALSE,TRUE
"gear",95,"2025-03-05",0,17.896,4e-04,0.00087,0.003,FALSE,FALSE
"gear",95,"2025-03-05",7,17.896,0.1005,0.00087,0.003,FALSE,TRUE
"gear",95,"2025-03-05",1,17.896,0.0024,0.00087,0.003,FALSE,FALSE
"gear",96,"2025-03-06",17,17.896,0.5282,0.00087,0.003,TRUE,TRUE
"gear",96,"2025-03-06",35,17.896,0.9429,0.00087,0.003,FALSE,TRUE
"gear",96,"2025-03-06",20,17.896,0.6461,0.00087,0.003,TRUE,TRUE
"gear",97,"2025-03-07",13,17.896,0.3481,0.00087,0.003,TRUE,TRUE
"gear",97,"2025-03-07",9,17.896,0.1721,0.00087,0.003,FALSE,TRUE
"gear",97,"2025-03-07",9,17.896,0.1721,0.00087,0.003,FALSE,TRUE
"gear",98,"2025-03-08",58,50.625,0.6704,2e-05,7e-05,TRUE,TRUE
"gear",98,"2025-03-08",54,50.625,0.616,2e-05,7e-05,TRUE,TRUE
"gear",98,"2025-03-08",69,50.625,0.7916,2e-05,7e-05,FALSE,TRUE
"gear",101,"2025-03-11",18,17.896,0.5697,0.00087,0.003,TRUE,TRUE
"gear",101,"2025-03-11",13,17.896,0.3481,0.00087,0.003,TRUE,TRUE
"gear",101,"2025-03-11",12,17.896,0.302,0.00087,0.003,TRUE,TRUE
"gear",102,"2025-03-12",13,17.896,0.3481,0.00087,0.003,TRUE,TRUE
"gear",102,"2025-03-12",17,17.896,0.5282,0.00087,0.003,TRUE,TRUE
"gear",102,"2025-03-12",22,17.896,0.7131,0.00087,0.003,TRUE,TRUE
"gear",104,"2025-03-14",13,17.896,0.3481,0.00087,0.003,TRUE,TRUE
