"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"trailer",44,-78.1260978686701,6.96730416158904,5.80672287494331,1,-72.32
"catch",18,-54.932540558644,4.52929628389653,3.21112489179744,1,-51.72
