"tau_boat_prior_mu","scale_factor","boat_catch_median","boat_lo95","boat_hi95","boat_pct_change","port_total_median","port_lo95","port_hi95","port_pct_change","is_current_prior"
2,0.6601,29950,20082,45237,-34,77825,65603,94798,-16.6,FALSE
2.4,0.7921,35939,24099,54285,-20.8,83815,69873,103514,-10.1,FALSE
2.7,0.8911,40432,27111,61070,-10.9,88338,73068,110069,-5.3,FALSE
3,0.9901,44924,30124,67856,-1,92824,76226,116596,-0.5,FALSE
3.4,1.1221,50914,34140,76903,12.2,98821,80472,125528,5.9,FALSE
