"hbin","n_days","mean_presence_over_arrivals","median_presence_over_arrivals","implied_turnover"
5,3,0.0111111111111111,0,90
6,3,0.0237471625632967,0.00602409638554217,42.1102941176471
7,40,0.0226484489878157,0,44.1531338652803
8,40,0.122845964437362,0.114974937343358,8.14027554409319
9,40,0.222562977447245,0.204967614651578,4.49311027139288
10,40,0.334873587748119,0.312213055954089,2.98620147000714
11,40,0.418885695906446,0.410714285714286,2.38728610160835
12,40,0.45327042397482,0.453288327526132,2.20618850714061
13,40,0.445926394573332,0.463388034898214,2.24252256015662
14,40,0.410839330764987,0.402861596425714,2.43404154645562
15,40,0.371510590820761,0.38125,2.69171330429839
16,40,0.276695369735979,0.253737395106128,3.61408288456072
17,26,0.285871415790793,0.31192952266946,3.49807621455873
18,22,0.11303370366906,0.0444078947368421,8.84691881748652
19,2,0.281277283045224,0.281277283045224,3.55521067742686
20,2,0.176663174436878,0.176663174436878,5.66048925129726
21,1,0.1256038647343,0.1256038647343,7.96153846153846
