"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",2074,1443,3202,1584,1161,2242
"2024-10",4336,3220,6181,3027,2351,3953
"2024-11",3984,2844,6382,2966,2163,4176
"2024-12",9807,8323,11976,3472,2679,4506
"2025-01",7073,6155,8607,3390,2612,4449
"2025-02",1947,1467,2737,2137,1586,2847
"2025-03",2180,1509,3358,2432,1936,3041
"2025-04",4526,3290,6283,4675,3732,5877
"2025-05",8804,5827,14195,5262,4182,6612
"2025-06",7188,4512,12286,5167,3926,6745
"2025-07",17106,9771,31609,10524,7763,14184
"2025-08",17686,11081,30303,9791,7491,12939
"2025-09",4247,2626,7591,3096,2230,4293
