"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"C_sum",46444.2602,103.054527038344,9806.81807928443,30424.775,39464.5,45373.5,52140.5,68534.475,9055.70130247183,1.0001515265692
"E_sum",15765.3266236197,23.0769947013233,2497.73976301581,11322.8419527192,14024.437463694,15624.4721749667,17330.0205932929,21173.4545860692,11714.8268708616,0.999951683545409
"C_sum_gear[1]",46444.2602,103.054527038344,9806.81807928443,30424.775,39464.5,45373.5,52140.5,68534.475,9055.70130247183,1.0001515265692
"B1",0.489871574321616,0.00104618975140625,0.120831759258282,0.25383582995918,0.408844621804191,0.490249088963185,0.572958574305624,0.727488179281064,13339.5529331405,0.999873247752472
"B2",0.484114669696177,0.00252976579800896,0.282493174832928,-0.05472380701655,0.289803423513521,0.481270919629334,0.67333913146349,1.04659953339854,12469.6793399814,0.999811989453898
"r_C_gear_out[1]",1.60011550732476,0.00262223300734347,0.263285163736401,1.14660500582846,1.41382907571515,1.58046945509834,1.75883589214734,2.18487871802629,10081.1531992333,0.999726501527735
"sigma_eps_C_gear_out[1]",0.38766276474313,0.00359951149353438,0.18861043941731,0.0675634855686184,0.262413082780151,0.367772099978829,0.48668215740763,0.817275893245248,2745.64462276681,1.00027730140328
"f_crab_out[1]",0.913976535908709,0.000414998651337785,0.0429355447713514,0.812771180781046,0.889437625166505,0.920092378542316,0.945576124973935,0.978702790428513,10703.8640533475,1.00055370254295
"f_crab_out[2]",0.884859147250919,0.000399626748626909,0.0493348674524765,0.769763474903522,0.8562663576932,0.891473712666789,0.920837498000306,0.961300469242913,15240.4865583026,0.999889931308387
"f_crab_out[3]",0.854546307562353,0.00072093357919643,0.0780135159775051,0.668800167211688,0.811130198553425,0.866400089533423,0.912228906444311,0.970171227769636,11709.7923660475,0.999763725168183
"f_crab_out[4]",0.743602338434091,0.000910119012971033,0.0954264166034162,0.539670078772291,0.68456470636303,0.750745478456194,0.811287496897465,0.909150660578058,10993.6234410816,0.999964464425445
"f_crab_out[5]",0.622215587566886,0.000746384834493792,0.0826733356305002,0.455749511490799,0.567006977725729,0.623726916033799,0.680164694528679,0.776565590976901,12268.890994216,0.999858324795282
"f_crab_out[6]",0.508890951613532,0.000846497089039902,0.0933743561323326,0.325748271423569,0.445271162951938,0.510670734363994,0.573811095575494,0.686700458118888,12167.5825763633,1.00002531490398
"f_crab_out[7]",0.472571006971211,0.00088010960995585,0.101179995271314,0.279172551893227,0.402491241156947,0.470147972227034,0.539870616458707,0.677842848806112,13216.4793991768,0.999951758934293
"f_crab_out[8]",0.421999327061389,0.000883382228706033,0.0950521408912721,0.245850835002831,0.356511364403765,0.419072179326465,0.482686322730432,0.61965862242517,11577.8119089071,0.999876691758346
"f_crab_out[9]",0.306099670223365,0.000688814866108878,0.0731236308196344,0.17572505677033,0.2540967874834,0.302022458855984,0.353628992774411,0.459471265277593,11269.6511201668,0.999911983780729
"f_crab_out[10]",0.203541255256767,0.000694232254995426,0.0753401989223102,0.0750143715849692,0.148056150319442,0.197387417454736,0.252415147861783,0.366360573251084,11777.2515064769,0.999861010029553
"sigma_f_out",0.694298243041321,0.00421111965609749,0.280013510866047,0.307287528545224,0.497951202856456,0.644430348754626,0.831642797966097,1.38712852821916,4421.43057581184,1.00170336041629
"cfi_kappa_out",28.1654028267785,0.220390859896622,21.4440015346529,7.08394502400801,14.5141872133252,22.1499788772441,34.8210387727482,84.8018620420244,9467.26427600186,0.999903691309669
"combo_c_out[1]",0.0291136882755829,0.000236172984293809,0.0256432398734424,0.00113562156899304,0.0100427097743852,0.0221302980220767,0.040576791210625,0.0971779981024201,11789.2276761956,1.00003008799469
"combo_c_out[2]",0.0290182593153982,0.000281497828913922,0.0279784096749001,0.000827282388678885,0.00876020680614712,0.0207685264697343,0.0400903021901144,0.104967460009839,9878.612517061,0.999905924686172
"combo_c_out[3]",0.0789298560136768,0.000959103676197321,0.0812307484015196,0.00150226998178202,0.0205333293647191,0.0523219822893165,0.110742248474998,0.300307668456132,7173.14810404801,0.999899694693122
"combo_c_out[4]",0.395237419484586,0.00134649841171341,0.144762942387755,0.135648158514497,0.290757385213813,0.386364731165351,0.492395891855946,0.695804842844527,11558.5435235765,1.00008637875533
"combo_c_out[5]",0.389787089908841,0.00099884408289414,0.106890703904311,0.19020278098886,0.313272600192031,0.38765488149408,0.461670808641544,0.60646315308712,11452.082595864,1.00006992143035
"combo_c_out[6]",0.470820069566947,0.00114207256759304,0.129996703840575,0.221183838902042,0.38103700942233,0.468396927283414,0.56001574630745,0.727957405707455,12956.1891952304,0.999977582892531
"combo_c_out[7]",0.528962424689332,0.00124717948209255,0.146707487435536,0.2328225151302,0.429754575202796,0.530604161716226,0.632851476666268,0.803278071728432,13837.1498322563,1.0001311853775
"combo_c_out[8]",0.641118824117527,0.001263804178413,0.132897133694334,0.368561526045184,0.552054516297471,0.644737462538105,0.739011451402537,0.87862704076253,11057.8744497246,1.00002456973241
"combo_c_out[9]",0.585742351601982,0.00111679932252519,0.125733802999883,0.327757288408856,0.502185750562776,0.591228125630621,0.67620307116173,0.813132580037254,12675.1707807571,0.99996997823842
"combo_c_out[10]",0.798183012164305,0.00160149596094728,0.150693433821783,0.45384652987356,0.701565120030829,0.824645759316374,0.922770975590303,0.996550460080325,8853.94791787176,0.999857192408476
"sigma_c_out",1.1404905895688,0.00834748729430912,0.522549217805912,0.407289706869845,0.753069169709379,1.04701507820837,1.42522774824189,2.40873010763383,3918.70770304865,1.00015203733091
"cfc_kappa_out",18.7890012188045,0.202599239960825,19.1777464608402,2.68053151759691,7.35435095284917,13.0936142830333,23.3229138754088,68.9664891637639,8960.23751390829,1.00010157931208
