"stratum","label","walk_prev","walk_gap","contact_days","contacts","contacts_crabbing","typed_days","typed_crabbing","typed_combo","osp_days","osp_total","osp_crab_only","f_median","f_lo95","f_hi95","f_n_eff","f_Rhat","c_median","c_lo95","c_hi95","crab_only_share_median","crab_only_share_lo95","crab_only_share_hi95"
1,"2024-12",0,1,17,31,30,17,30,0,0,0,0,0.920092378542316,0.812771180781046,0.978702790428513,10704,1.0006,0.0221302980220767,0.00113562156899304,0.0971779981024201,0.89333067851069,0.777104111770749,0.963866684997215
2,"2025-01",1,1,11,26,23,11,23,0,0,0,0,0.891473712666789,0.769763474903522,0.961300469242913,15240,0.9999,0.0207685264697343,0.000827282388678885,0.104967460009839,0.865412145235311,0.735237135480834,0.947393598863839
3,"2025-02",2,1,4,5,5,4,5,0,0,0,0,0.866400089533423,0.668800167211688,0.970171227769636,11710,0.9998,0.0523219822893165,0.00150226998178202,0.300307668456132,0.801041718962743,0.547819036034531,0.93944277513184
4,"2025-03",3,1,6,13,9,6,9,5,0,0,0,0.750745478456194,0.539670078772291,0.909150660578058,10994,1,0.386364731165351,0.135648158514497,0.695804842844527,0.449762870088189,0.217299822947048,0.691833892956652
5,"2025-04",4,1,11,26,16,9,16,6,0,0,0,0.623726916033799,0.455749511490799,0.776565590976901,12269,0.9999,0.38765488149408,0.19020278098886,0.60646315308712,0.376565918872145,0.224163209535173,0.550207721544432
6,"2025-05",5,1,10,17,8,6,8,4,0,0,0,0.510670734363994,0.325748271423569,0.686700458118888,12168,1,0.468396927283414,0.221183838902042,0.727957405707455,0.263949073844506,0.121595734510864,0.448746190384253
7,"2025-06",6,1,4,13,6,4,6,3,0,0,0,0.470147972227034,0.279172551893227,0.677842848806112,13216,1,0.530604161716226,0.2328225151302,0.803278071728432,0.215751406183637,0.0801578491243553,0.414429063175735
8,"2025-07",7,1,6,17,8,4,8,6,0,0,0,0.419072179326465,0.245850835002831,0.61965862242517,11578,0.9999,0.644737462538105,0.368561526045184,0.87862704076253,0.143884703598692,0.0449623512863852,0.300788704920048
9,"2025-08",8,1,7,44,12,5,12,6,0,0,0,0.302022458855984,0.17572505677033,0.459471265277593,11270,0.9999,0.591228125630621,0.327757288408856,0.813132580037254,0.119969702509411,0.0490916607961726,0.238514194762555
10,"2025-09",9,1,6,29,4,3,4,4,0,0,0,0.197387417454736,0.0750143715849692,0.366360573251084,11777,0.9999,0.824645759316374,0.45384652987356,0.996550460080325,0.0316701329816004,0.000585038057026175,0.132719446041327
