"Section","Minutes"
"1_load_data",0.1
"2_diagnostic_plots",0.1
"3_PE_estimates",0.1
"4_commercial_charter",0
"5_BSS_model_runs",33.8
"BSS_shore_ring_net_only_Dungeness_Kept_att1",3.5
"BSS_shore_all_gear_Dungeness_Kept_att1",10
"BSS_private_boat_ring_net_only_Dungeness_Kept_att1",2.7
"BSS_private_boat_all_gear_Dungeness_Kept_att1",15.6
"6_outputs",1.9
"7_sensitivity",0
