"metric","value"
"Season start","2024-09-16"
"Season end","2025-09-15"
"Season days","365"
"PE total catch","85076"
"BSS total catch (median)","93274"
"BSS 95% CI lower","76537"
"BSS 95% CI upper","117227"
"Catch (PE): Shore","38328"
"Catch (PE): Private Boat","38210"
"Catch (PE): Commercial/Charter","8538"
"Catch % (PE): Shore","45.1"
"Catch % (PE): Private Boat","44.9"
"Catch % (PE): Commercial/Charter","10"
"Effort days sampled","200"
"Total interviews","4076"
"BSS fits attempted","4"
"BSS fits passed convergence","4"
