"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,67,42552,34234,23,80.5
"boat pot-closure",76,14,1031,725,18,70.3
"shore all-gear",289,145,27739,15068,50,54.3
"shore pot-closure",76,51,8735,2975,67,34.1
