"Component","Effort_hrs","Dungeness"
"Shore (ring-net)",4485.73333333333,5868.69851125377
"Shore (all-gear)",18104.0555555556,15664.5579221061
"Private Boat (ring-net)",583.905882352941,913.745454545454
"Private Boat (all-gear)",11885.8448275862,21909.7491237905
"Commercial/Charter",282.811594202899,12007.1197463768
"PORT TOTAL",35342.3511930309,56363.8707580726
