"metric","value"
"Season start","2024-09-16"
"Season end","2025-09-15"
"Season days","365"
"PE total catch","56364"
"BSS total catch (median)","83058"
"BSS 95% CI lower","70410"
"BSS 95% CI upper","101341"
"Catch: Shore","21533"
"Catch: Private Boat","22823"
"Catch: Commercial/Charter","12007"
"Catch %: Shore","38.2"
"Catch %: Private Boat","40.5"
"Catch %: Commercial/Charter","21.3"
"Effort days sampled","200"
"Total interviews","3925"
"BSS fits attempted","3"
"BSS fits passed convergence","3"
