"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95","composition","effort_units_note"
"Dungeness_Kept","Effort (mixed units; see effort_units_note)",35342,44379,40579,49022,"BSS where gate passed; PE otherwise; census for comm/charter","Effort row mixes crabber-hours (shore) and gear-deployments (boat)"
"Dungeness_Kept","Catch",56364,83058,70410,101341,"BSS where gate passed; PE otherwise; census for comm/charter","Effort row mixes crabber-hours (shore) and gear-deployments (boat)"
