"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1598,1232,2223,1211,947,1645
"2024-10",3211,2603,4032,2350,1946,2936
"2024-11",2630,2005,3469,1993,1543,2575
"2024-12",9699,8866,10801,2255,1784,2862
"2025-01",7138,6603,7882,2252,1775,2890
"2025-02",1654,1363,2101,1451,1105,1937
"2025-03",1524,1085,2397,1659,1379,1996
"2025-04",3358,2450,4987,3223,2658,3942
"2025-05",8111,5452,13767,3935,3254,4843
"2025-06",4116,2682,6977,2946,2275,3895
"2025-07",12812,7664,24309,7887,6110,10804
"2025-08",19456,12685,31363,8920,7153,11457
"2025-09",5791,3402,10583,3603,2739,4993
