"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected"
"shore (ring_net_only)",4486,4996,11.4,5869,6567,11.9,"BSS"
"shore (all_gear)",18104,23620,30.5,15665,20134,28.5,"BSS"
"private_boat (ring_net_only)",584,NA,NA,914,NA,NA,"PE"
"private_boat (all_gear)",11886,14805,24.6,21910,43314,97.7,"BSS"
"comm_charter (census)",283,NA,NA,12007,NA,NA,"Census"
