"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",3403,3098,3917,6178,5724,6978
"2024-10",6061,5556,6747,10970,10225,12013
"2024-11",3407,2841,4188,5623,4816,6645
"2024-12",10215,9322,11590,6497,5377,8011
"2025-01",7387,6809,8373,5696,4673,7181
"2025-02",1780,1461,2272,3545,2805,4649
"2025-03",2145,1536,3352,5278,4282,6749
"2025-04",4890,3415,7752,10152,8102,13157
"2025-05",6007,4006,10066,11481,9083,15674
"2025-06",6597,3622,15285,12975,8847,22515
"2025-07",19755,10111,42346,35713,24548,61019
"2025-08",17815,9636,32701,33905,26227,47770
"2025-09",8326,4040,16291,15721,11848,22227
