"stratum","label","walk_prev","walk_gap","contact_days","contacts","contacts_crabbing","typed_days","typed_crabbing","typed_combo","osp_days","osp_total","osp_crab_only","f_median","f_lo95","f_hi95","f_n_eff","f_Rhat","c_median","c_lo95","c_hi95","crab_only_share_median","crab_only_share_lo95","crab_only_share_hi95"
1,"2024-12",0,1,17,31,30,17,30,0,0,0,0,0.921638493145872,0.814115966656257,0.979063320990144,12732,0.9999,0.022030623873082,0.000885417771696367,0.0993561745259159,0.894059426382044,0.77943060215233,0.963942013656075
2,"2025-01",1,1,11,26,23,11,23,0,0,0,0,0.891343049883987,0.769897712738444,0.962612942884511,13864,0.9999,0.0207645521772691,0.00062204812937259,0.107787678192414,0.865109289675681,0.734455755733705,0.947184293604578
3,"2025-02",2,1,4,5,5,4,5,0,0,0,0,0.86778132374272,0.66805297372966,0.970220350969144,11968,0.9999,0.0527145675555962,0.00113820556207011,0.314546096052457,0.802638406395335,0.543779965899152,0.94126485235125
4,"2025-03",3,1,6,13,9,6,9,5,0,0,0,0.750189303366518,0.531497252417227,0.913662734234894,12393,1.0003,0.386621338935065,0.137498868267871,0.69625193850339,0.449261139712964,0.213444646986697,0.688381350915131
5,"2025-04",4,1,11,26,16,9,16,6,0,0,0,0.624118823572526,0.452958895522367,0.778417552165849,12622,1.0002,0.386459265725653,0.191226749656136,0.613283033684763,0.376307793297972,0.221493455094337,0.55194516785357
6,"2025-05",5,1,10,17,8,6,8,4,0,0,0,0.511056140171088,0.320482682487208,0.683422461041142,13136,0.9999,0.471397190193463,0.216262033015106,0.735537145404526,0.263447286605504,0.116326623973365,0.449504464904419
7,"2025-06",6,1,4,13,6,4,6,3,0,0,0,0.471893940433708,0.280335087184144,0.680427009290824,13886,0.9999,0.532179650648426,0.239786050104686,0.806725362971614,0.213756239932433,0.0795214695727592,0.417625773545473
8,"2025-07",7,1,6,17,8,4,8,6,0,0,0,0.418194617436235,0.242688138319847,0.615408726788033,13395,0.9998,0.647437677879567,0.365714041736896,0.880820786804306,0.144003346141512,0.0445875506902298,0.30322968974919
9,"2025-08",8,1,7,44,12,5,12,6,0,0,0,0.301733323490586,0.175786176079264,0.461416201292894,10509,0.9999,0.59236701601278,0.330362479940065,0.814384084605532,0.120436943147666,0.0481645276903911,0.237904520315681
10,"2025-09",9,1,6,29,4,3,4,4,0,0,0,0.198057293676618,0.0748714249278202,0.361776202953831,9471,1,0.823742621333959,0.455199613000267,0.996797592638732,0.0320101949640022,0.000574622320664119,0.131008413523619
