"tau_boat_prior_mu","scale_factor","boat_catch_median","boat_lo95","boat_hi95","boat_pct_change","port_total_median","port_lo95","port_hi95","port_pct_change","is_current_prior"
2,0.6601,37507,26553,51911,-34,86436,72970,102587,-18.3,FALSE
2.4,0.7921,45008,31864,62294,-20.8,93918,78613,112719,-11.2,FALSE
2.7,0.8911,50634,35846,70080,-10.9,99575,82755,120500,-5.8,FALSE
3,0.9901,56260,39829,77867,-1,105198,86791,128041,-0.5,FALSE
3.4,1.1221,63761,45140,88249,12.2,112720,92322,138184,6.6,FALSE
