"data_type","day_index","event_date","observed","fitted_mean","pit","p_zero","p_one","in_50","in_95"
"gear",2,"2024-09-17",30,30.855,0.5567,0.00047,0.00125,TRUE,TRUE
"gear",3,"2024-09-18",29,30.855,0.5331,0.00047,0.00125,TRUE,TRUE
"gear",4,"2024-09-19",55,30.855,0.9056,0.00047,0.00125,FALSE,TRUE
"gear",5,"2024-09-20",29,30.855,0.5331,0.00047,0.00125,TRUE,TRUE
"gear",6,"2024-09-21",48,62.945,0.3955,8e-05,2e-04,TRUE,TRUE
"gear",9,"2024-09-24",50,30.855,0.868,0.00047,0.00125,FALSE,TRUE
"gear",10,"2024-09-25",13,30.855,0.1298,0.00047,0.00125,FALSE,TRUE
"gear",12,"2024-09-27",34,30.855,0.6434,0.00047,0.00125,TRUE,TRUE
"gear",13,"2024-09-28",79,62.945,0.734,8e-05,2e-04,TRUE,TRUE
"gear",16,"2024-10-01",30,29.506,0.5866,0.00052,0.0014,TRUE,TRUE
"gear",18,"2024-10-03",45,29.506,0.8398,0.00052,0.0014,FALSE,TRUE
"gear",19,"2024-10-04",29,29.506,0.563,0.00052,0.0014,TRUE,TRUE
"gear",20,"2024-10-05",72,60.059,0.7031,8e-05,0.00022,TRUE,TRUE
"gear",23,"2024-10-08",30,29.506,0.5866,0.00052,0.0014,TRUE,TRUE
"gear",24,"2024-10-09",29,29.506,0.563,0.00052,0.0014,TRUE,TRUE
"gear",26,"2024-10-11",14,29.506,0.1657,0.00052,0.0014,FALSE,TRUE
"gear",27,"2024-10-12",62,60.059,0.6001,8e-05,0.00022,TRUE,TRUE
"gear",28,"2024-10-13",64,60.059,0.6225,8e-05,0.00022,TRUE,TRUE
"gear",30,"2024-10-15",27,27.699,0.5554,6e-04,0.00162,TRUE,TRUE
"gear",31,"2024-10-16",37,27.699,0.7668,6e-04,0.00162,FALSE,TRUE
"gear",32,"2024-10-17",43,27.699,0.8486,6e-04,0.00162,FALSE,TRUE
"gear",33,"2024-10-18",39,27.699,0.7975,6e-04,0.00162,FALSE,TRUE
"gear",34,"2024-10-19",62,56.616,0.6422,1e-04,0.00026,TRUE,TRUE
"gear",36,"2024-10-21",29,27.699,0.6054,6e-04,0.00162,TRUE,TRUE
"gear",37,"2024-10-22",25,27.699,0.502,6e-04,0.00162,TRUE,TRUE
"gear",38,"2024-10-23",35,27.699,0.7323,6e-04,0.00162,TRUE,TRUE
"gear",39,"2024-10-24",24,27.699,0.4741,6e-04,0.00162,TRUE,TRUE
"gear",40,"2024-10-25",10,27.699,0.0931,6e-04,0.00162,FALSE,TRUE
"gear",41,"2024-10-26",36,56.616,0.2872,1e-04,0.00026,TRUE,TRUE
"gear",42,"2024-10-27",18,56.616,0.0652,1e-04,0.00026,FALSE,TRUE
"gear",45,"2024-10-30",18,25.761,0.3454,0.00073,0.002,TRUE,TRUE
"gear",46,"2024-10-31",12,25.761,0.164,0.00073,0.002,FALSE,TRUE
"gear",47,"2024-11-01",33,25.761,0.741,0.00073,0.002,TRUE,TRUE
"gear",48,"2024-11-02",79,52.597,0.8335,0.00012,0.00031,FALSE,TRUE
"gear",51,"2024-11-05",8,25.761,0.0707,0.00073,0.002,FALSE,TRUE
"gear",52,"2024-11-06",17,25.761,0.3138,0.00073,0.002,TRUE,TRUE
"gear",53,"2024-11-07",25,25.761,0.5564,0.00073,0.002,TRUE,TRUE
"gear",54,"2024-11-08",36,25.761,0.7921,0.00073,0.002,FALSE,TRUE
"gear",55,"2024-11-09",22,52.597,0.1253,0.00012,0.00031,FALSE,TRUE
"gear",59,"2024-11-13",25,25.052,0.5755,8e-04,0.00218,TRUE,TRUE
"gear",60,"2024-11-14",43,25.052,0.8891,8e-04,0.00218,FALSE,TRUE
"gear",61,"2024-11-15",46,25.052,0.9132,8e-04,0.00218,FALSE,TRUE
"gear",62,"2024-11-16",57,51.236,0.6549,0.00013,0.00034,TRUE,TRUE
"gear",65,"2024-11-19",13,25.052,0.2034,8e-04,0.00218,FALSE,TRUE
"gear",66,"2024-11-20",0,25.052,4e-04,8e-04,0.00218,FALSE,FALSE
"gear",67,"2024-11-21",15,25.052,0.2653,8e-04,0.00218,TRUE,TRUE
"gear",68,"2024-11-22",6,25.052,0.0412,8e-04,0.00218,FALSE,TRUE
"gear",69,"2024-11-23",23,51.236,0.1482,0.00013,0.00034,FALSE,TRUE
"gear",72,"2024-11-26",26,32.033,0.4454,0.00048,0.00127,TRUE,TRUE
"gear",73,"2024-11-27",33,32.033,0.6043,0.00048,0.00127,TRUE,TRUE
"gear",75,"2024-11-29",51,65.931,0.4947,0.00018,0.00047,TRUE,TRUE
"gear",76,"2024-11-30",123,65.014,0.9226,8e-05,2e-04,FALSE,TRUE
"catch",2,"2024-09-17",3,5.243,0.3909,0.09655,0.11947,TRUE,TRUE
"catch",2,"2024-09-17",0,2.621,0.1053,0.21058,0.2109,FALSE,TRUE
"catch",2,"2024-09-17",1,2.621,0.316,0.21058,0.2109,TRUE,TRUE
"catch",3,"2024-09-18",0,2.621,0.1053,0.21058,0.2109,FALSE,TRUE
