"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,67,51324,39966,23,77.9
"boat pot-closure",76,14,1031,725,18,70.3
"shore all-gear",289,145,25726,13190,50,51.3
"shore pot-closure",76,51,8735,2975,67,34.1
