"fit","B1_median","B1_lo95","B1_hi95","weekend_multiplier","B2_median","B2_lo95","B2_hi95","holiday_multiplier"
"shore_ring_net_only_Dungeness_Kept",0.703,0.385,1.045,"2.0x (1.5-2.8)",-0.1,-1.041,1.009,"1.8x (0.7-5.6)"
"shore_all_gear_Dungeness_Kept",0.914,0.721,1.108,"2.5x (2.1-3.0)",0.071,-0.443,0.581,"2.7x (1.6-4.4)"
"private_boat_ring_net_only_Dungeness_Kept",0.747,0.295,1.193,"2.1x (1.3-3.3)",-0.008,-1.991,1.919,"2.1x (0.3-15.0)"
"private_boat_all_gear_Dungeness_Kept",0.549,0.292,0.817,"1.7x (1.3-2.3)",0.356,-0.265,1.008,"2.5x (1.3-4.7)"
