"Component","Effort_hrs","Dungeness"
"Shore (Pot closure)",4485.73333333333,5868.69851125377
"Shore (All gear)",18104.0555555556,15664.5579221061
"Private Boat (Pot closure)",175.171764705882,350.99422459893
"Private Boat (All gear)",3565.75344827586,10940.3561720648
"Commercial/Charter",282.811594202899,11985.6830227743
"PORT TOTAL",26613.5256960735,44810.2898527979
