"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected"
"shore (Pot closure)",4486,4756,6,5869,6263,6.7,"BSS"
"shore (All gear)",18104,24036,32.8,15665,20665,31.9,"BSS"
"private_boat (Pot closure)",175,NA,NA,351,NA,NA,"PE"
"private_boat (All gear)",3566,4397,23.3,10940,12932,18.2,"BSS"
"comm_charter (census)",283,NA,NA,11986,NA,NA,"Census"
