"event_date","L_prior_mu","L_posterior_median","L_posterior_lo95","L_posterior_hi95"
2024-12-01,5.41911553958231,1.20307087408884,0.667472181532385,2.16447834787876
2024-12-02,5.6700920745626,1.2001340374717,0.680595977217426,2.12907199526871
2024-12-03,5.67009516020066,1.19800151154808,0.668079836722378,2.13566046978289
2024-12-04,5.67007500458186,1.19669686543397,0.668164407542381,2.1555256092623
2024-12-05,5.67003160795405,1.19572575725356,0.664782579198122,2.16584787835498
2024-12-06,5.41901922298848,1.20033235687836,0.681486068969317,2.11529599501071
2024-12-07,5.41893332406528,1.20331174729107,0.665030765461164,2.14945021159201
2024-12-08,5.41882521510126,1.21138673243442,0.667752838748402,2.17583476290408
2024-12-09,5.66962562631192,1.19826198595691,0.66862373782031,2.12021257475369
2024-12-10,5.6694660383588,1.19928257560757,0.666110609024777,2.17099558202522
2024-12-11,5.66928321688469,1.20207413410245,0.664349846423165,2.17695393639194
2024-12-12,5.6690771641375,1.19945937805144,0.659328154281635,2.15155337066027
2024-12-13,5.41795157575233,1.19543499966639,0.678327046132516,2.13533055831306
2024-12-14,5.41771024401554,1.20297235420993,0.666409776065283,2.17183814889897
2024-12-15,5.41744671727631,1.20083620440281,0.667456211688492,2.15748065185632
2024-12-16,5.66802069537085,1.1982478013311,0.668466309552991,2.17059949842291
2024-12-17,5.66769852997071,1.210747613848,0.660495501902278,2.19817369867259
2024-12-18,5.66735315278031,1.19895356830748,0.669235221592259,2.13674302494842
2024-12-19,5.66698456804541,1.19795206526548,0.66025597903188,2.17340023581626
2024-12-20,5.41579628148357,1.19907585685137,0.672027237552127,2.13588150563528
2024-12-21,5.41539966231,1.20413579416476,0.66205523858167,2.19366140390068
2024-12-22,5.41498087653759,1.19854037056714,0.667701663159183,2.14045218926614
2024-12-23,5.66527824855187,1.19845337358328,0.663622427344002,2.18309937630956
2024-12-24,5.66479369975557,1.20098177385789,0.668467509906812,2.15912189406833
2024-12-25,5.66428597487282,1.20183425222196,0.669371190846191,2.16478043009644
2024-12-26,5.66375508014291,1.20600142262179,0.663994409760274,2.16788166927217
2024-12-27,5.41255463836586,1.20330334166706,0.672990188212547,2.14311503114478
2024-12-28,5.4120029706109,1.20986363186876,0.66732267079873,2.16712682498074
2024-12-29,5.41142917799739,1.20529916703757,0.681188150733774,2.12066810672862
2024-12-30,5.66139993748609,1.20308556545838,0.671743892266068,2.15134674889277
2024-12-31,5.41021524666327,1.19896904686641,0.662186119700018,2.15932587052213
2025-01-01,4.2960228928067,1.20108660293812,0.657870041056578,2.17166912869989
2025-01-02,4.50116190612191,1.20321291990902,0.669580200885463,2.14912446975192
2025-01-03,4.307859534254,1.19497940300306,0.670771154132519,2.13650403933061
2025-01-04,4.31376355646243,1.19689888062923,0.666417055923951,2.16429159912917
2025-01-05,4.319657964282,1.19732052749618,0.669814048782063,2.14413911254995
2025-01-06,4.52585136872198,1.20440367130155,0.658529025496772,2.19684397636141
