"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",31160,26585,38366,0.594
"Trap",11390,10072,13084,0.217
"Ring Net",7899,7017,9079,0.15
"Snare",1883,1638,2200,0.036
"Other",155,94,262,0.003
