List of 112
 $ run_tag                         : chr "OSPval-step5-fmonth"
 $ project_name                    : chr "Coastal Recreational Crab"
 $ fishery_name                    : chr "Rec Crab Grays Harbor 2024-25"
 $ est_date_start                  : chr "2024-09-16"
 $ est_date_end                    : chr "2025-09-15"
 $ season_filter                   : chr "2024-25"
 $ pot_open_date                   : chr "2024-12-01"
 $ pot_closure_start               : chr "2024-09-16"
 $ pot_closure_end                 : chr "2024-11-30"
 $ commercial_opener               : chr "2025-01-01"
 $ census_start_date               : chr "2024-12-01"
 $ census_end_date                 : chr "2025-02-08"
 $ estimate_red_rock               : logi FALSE
 $ days_wkend                      : chr [1:3] "Friday" "Saturday" "Sunday"
 $ min_fishing_time                : num 0.5
 $ period_pe                       : chr "week"
 $ sections                        : num 1
 $ pe_empty_stratum                : chr "pooled"
 $ filter_incomplete_trips         : logi TRUE
 $ shore_effort_unit               : chr "gear-deployments"
 $ tau_shore_prior_mu              : num 1.7
 $ tau_shore_prior_sigma           : num 0.3
 $ tau_boat_prior_mu               : num 1.2
 $ tau_boat_prior_sigma            : num 0.3
 $ gear_per_group_default          : num 4
 $ use_osp_boat_counts             : logi FALSE
 $ osp_scale_prior_mu              : num 3
 $ osp_scale_prior_sigma           : num 0.3
 $ use_crab_fraction               : logi TRUE
 $ crab_fraction_set               : num 0.3
 $ crab_fraction_prior_kappa       : num 20
 $ crab_fraction_fixed             : logi NA
 $ crab_fraction_min_obs           : num 20
 $ ie_crab_col                     : chr "boats_crabbing"
 $ ie_total_col                    : chr "boats_total"
 $ crab_fraction_strata            : chr "month"
 $ osp_scale_is_tau                : logi FALSE
 $ diagnose_tau_sensitivity        : logi TRUE
 $ tau_sensitivity_grid            : num [1:5] 0.9 1 1.2 1.5 1.8
 $ bss_chains                      : num 4
 $ bss_cores                       : num 4
 $ bss_seed                        : num 20260619
 $ bss_max_count_seq               : num 3
 $ ar_force                        : NULL
 $ ar_max_resolution               :List of 2
  ..$ shore       :List of 2
  .. ..$ all_gear   : chr "daily"
  .. ..$ pot_closure: chr "biweekly"
  ..$ private_boat: chr "monthly"
 $ effort_file                     : chr "effort_combined.xlsx"
 $ interview_file                  : chr "interview_combined.xlsx"
 $ tally_file                      : chr "wes_commercial_tally.xlsx"
 $ input_sheet                     : chr "data"
 $ gh_creel_location               : chr "Grays Harbor"
 $ gh_effort_areas                 : chr [1:7] "Westport Docks Float 20" "Westport Docks Float 17-21" "Westport Boat Launch" "Westport Marina" ...
 $ shore_dock_float20              : chr "Westport Docks Float 20"
 $ shore_dock_float17              : chr "Westport Docks Float 17-21"
 $ boat_launch_areas               : chr [1:2] "Westport Boat Launch" "Ocean Shores Boat Launch"
 $ ie_data_file                    : chr "ingress_egress.xlsx"
 $ ie_sheet                        : chr "data"
 $ ie_shore_location               : chr "WDF20"
 $ ie_boat_location                : chr "WBL"
 $ ie_filter_by_season             : logi FALSE
 $ use_ie_day_length               : logi TRUE
 $ ie_min_obs_for_regression       : num 5
 $ ie_min_obs_shore                : num 3
 $ ie_min_obs_boat                 : num 2
 $ day_length_min_hours            : num 9
 $ day_length_max_hours            : num 17
 $ crabbing_holidays_file          : chr "crabbing_holidays.xlsx"
 $ crabbing_holidays_sheet         : chr "data"
 $ run_fishery_spillover_diag      : logi TRUE
 $ razor_nearby_beaches            : chr [1:3] "Twin Harbors" "Copalis" "Mocrocks"
 $ fishery_opener_dates_file       : chr "fishery_opener_dates.xlsx"
 $ fishery_opener_sheet            : chr "data"
 $ razor_dig_mode                  : chr "no"
 $ razor_dig_auto_p                : num 0.05
 $ estimate_cpue_density           : logi FALSE
 $ collapse_mu_hier                : logi FALSE
 $ estimate_B1_C                   : logi TRUE
 $ gear_resolved_G                 : logi FALSE
 $ gear_share_dirichlet            : logi FALSE
 $ alpha0_gear                     : num 1
 $ ar_adaptive                     : logi FALSE
 $ loo_effort_unit_comparison      : logi FALSE
 $ use_boat_ie                     : logi TRUE
 $ model                           : chr "pooled"
 $ run_weather                     : logi FALSE
 $ bss_model_file                  : chr "crab_bss_pooled.stan"
 $ bss_adapt_delta                 : num 0.9
 $ bss_iter_default                : num 3000
 $ bss_warmup_default              : num 1500
 $ bss_max_treedepth_default       : num 10
 $ bss_iter_shore_allgear          : num 5000
 $ bss_warmup_shore_allgear        : num 2500
 $ bss_treedepth_shore_allgear     : num 14
 $ bss_delta_shore_allgear         : num 0.95
 $ bss_treedepth_ringnet           : num 12
 $ bss_delta_ringnet               : num 0.95
 $ bss_iter_boat_allgear           : num 5000
 $ bss_warmup_boat_allgear         : num 2500
 $ bss_treedepth_boat_allgear      : num 13
 $ bss_delta_boat_allgear          : num 0.99
  [list output truncated]
