"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1396,1038,2037,1060,798,1523
"2024-10",2765,2206,3542,2023,1627,2538
"2024-11",2415,1851,3179,1830,1427,2352
"2024-12",8976,8300,9905,2098,1713,2642
"2025-01",6837,6418,7439,2356,1867,3092
"2025-02",1588,1317,2026,1470,1135,1997
"2025-03",1415,1026,2063,1930,1519,2589
"2025-04",2595,1853,3760,2909,2243,3979
"2025-05",4063,2656,6652,3022,2282,4258
"2025-06",2929,1838,4873,2734,1903,4216
"2025-07",5787,3480,10573,4640,3378,6645
"2025-08",7785,4578,13704,4826,3588,6657
"2025-09",2902,1839,5101,2129,1558,3056
