"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"gear",311,-1245.48521696795,16.077505348043,105.283673233682,48,-1140.2
"catch",1649,-3164.84258942392,46.8050297450084,40.3193609341441,36,-3124.52
