"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",44628,29387,69339,0.663
"Trap",11428,10073,13147,0.17
"Ring Net",9064,7399,11374,0.135
"Snare",1936,1668,2276,0.029
"Other",254,107,574,0.004
