"fit","R_G_interpretation","R_G_boat_interpretation"
"shore_ring_net_only_Dungeness_Kept","1.32 gear/crabber (1.27-1.38)","4.04 gear/group (1.54-10.53)"
"shore_all_gear_Dungeness_Kept","1.27 gear/crabber (1.24-1.31)","3.20 gear/group (1.60-10.21)"
"private_boat_all_gear_Dungeness_Kept","1.22 gear/crabber (0.68-2.19)","3.55 gear/group (3.23-3.89)"
