"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,25144,20580,23,81.8
"shore all-gear",289,145,17790,8889,50,50
"shore pot-closure",76,51,5872,1870,67,31.8
