"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",26614,33079,27332,40838
"Dungeness_Kept","Expected_Catch",44810,62069,45483,88517
"Dungeness_Kept","Predictive_Catch",NA,62064,45530,88566
